id	gene_short_name
5-Mar	5-Mar
AAMP	AAMP
ABCA1	ABCA1
ABCG1	ABCG1
ABL1	ABL1
ACAP1	ACAP1
ACE	ACE
ACE2	ACE2
ACHE	ACHE
ACO1	ACO1
ADA2	ADA2
ADAM10	ADAM10
ADAM17	ADAM17
ADAR	ADAR
ADCY8	ADCY8
ADIPOQ	ADIPOQ
ADM	ADM
ADM2	ADM2
ADRB2	ADRB2
AGER	AGER
AGRP	AGRP
AGT	AGT
AHR	AHR
AHSG	AHSG
AICDA	AICDA
AIM2	AIM2
AIMP1	AIMP1
AIP	AIP
AIRE	AIRE
AKAP10	AKAP10
AKNA	AKNA
AKT1	AKT1
AMBN	AMBN
AMELX	AMELX
AMFR	AMFR
AMH	AMH
ANGPT1	ANGPT1
ANGPTL5	ANGPTL5
ANGPTL7	ANGPTL7
ANKRD17	ANKRD17
ANO6	ANO6
ANPEP	ANPEP
ANXA1	ANXA1
ANXA2	ANXA2
ANXA4	ANXA4
AP3B1	AP3B1
APCS	APCS
APLN	APLN
APOA1	APOA1
APOBEC3A	APOBEC3A
APOBEC3B	APOBEC3B
APOBEC3G	APOBEC3G
APOH	APOH
AQP3	AQP3
AR	AR
AREG	AREG
ARF6	ARF6
ARG1	ARG1
ARHGAP15	ARHGAP15
ARL5B	ARL5B
ARRB2	ARRB2
ARTN	ARTN
ASCC3	ASCC3
ATF2	ATF2
ATF3	ATF3
ATF4	ATF4
ATF7	ATF7
ATG12	ATG12
ATG16L1	ATG16L1
ATG5	ATG5
ATG7	ATG7
ATG9A	ATG9A
ATM	ATM
AVP	AVP
AXL	AXL
AZI2	AZI2
AZU1	AZU1
BAIAP2L1	BAIAP2L1
BCAR1	BCAR1
BCL10	BCL10
BCL11B	BCL11B
BCL2	BCL2
BCL2A1	BCL2A1
BCL2L1	BCL2L1
BCL3	BCL3
BDKRB2	BDKRB2
BDNF	BDNF
BECN1	BECN1
BGN	BGN
BID	BID
BIRC2	BIRC2
BIRC3	BIRC3
BIRC5	BIRC5
BMP1	BMP1
BMP10	BMP10
BMP15	BMP15
BMP2	BMP2
BMP3	BMP3
BMP4	BMP4
BMP5	BMP5
BMP6	BMP6
BMP7	BMP7
BMP8A	BMP8A
BMP8B	BMP8B
BMX	BMX
BNIP3	BNIP3
BNIP3L	BNIP3L
BST2	BST2
BTC	BTC
BTK	BTK
BTN3A1	BTN3A1
BTN3A2	BTN3A2
BTN3A3	BTN3A3
C1QA	C1QA
C1QB	C1QB
C1QBP	C1QBP
C1QC	C1QC
C1R	C1R
C1S	C1S
C2	C2
C3	C3
C3AR1	C3AR1
C4A	C4A
C4B	C4B
C4BPA	C4BPA
C4BPB	C4BPB
C5	C5
C5AR1	C5AR1
C6	C6
C7	C7
