p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.52478039093185e-72	0.967673127752584	1	1	5.12855546880585e-69	0	RIPK2
2.17388975459937e-57	0.890796317210233	1	1	3.16300959294208e-54	0	NFIA
2.28925573192431e-52	0.828858507724156	1	1	3.33086708994987e-49	0	CSF1
3.48268466705362e-51	1.26632203079168	1	1	5.06730619056301e-48	0	ADCY8
2.20928541712579e-43	0.920771218008007	1	1	3.21451028191803e-40	0	S1PR1
1.26640958501747e-42	0.608361374649708	1	1	1.84262594620042e-39	0	CLEC9A
3.85446918752744e-41	-0.537363361332969	1	1	5.60825266785242e-38	0	ACE
7.19209688581669e-41	-1.68954381183776	1	1	1.04645009688633e-37	0	MDK
1.27895818020465e-40	0.95319978255588	1	1	1.86088415219777e-37	0	CSF1R
7.40301095096725e-40	-1.57534847986155	1	1	1.07713809336573e-36	0	CDKN1A
2.88628616118525e-39	1.45757060068296	1	1	4.19954636452455e-36	0	CTSH
5.61315476229028e-39	1.36285898573261	1	1	8.16714017913236e-36	0	MSTN
1.94840845947556e-38	-2.0338080827103	1	1	2.83493430853694e-35	0	LGALS3
1.45418096990446e-37	1.44609392491288	1	1	2.11583331121098e-34	0	NMB
2.77036178867274e-37	0.678999302417409	1	1	4.03087640251884e-34	0	IL17RD
8.47238117352907e-37	-1.49522404682538	1	1	1.23273146074848e-33	0	LGALS1
2.12660625313221e-36	0.6761017468112	1	1	3.09421209830736e-33	0	SEMA4B
2.5994983220592e-36	0.588300758803625	1	1	3.78227005859614e-33	0	JAK1
3.33543308103467e-36	-1.51004403584314	1	1	4.85305513290545e-33	0	BGN
3.42696618414381e-36	-2.22118773374738	1	1	4.98623579792924e-33	0	CXCL14
6.07721795620151e-36	-1.597609574005	1	1	8.8423521262732e-33	0	SERPING1
8.12709332008229e-36	-0.683155566953092	0.967	0.988	1.18249207807197e-32	0	MAP1LC3C
6.2426014187302e-35	0.705159858331309	1	0.988	9.08298506425244e-32	0	SEMA3D
6.30961607451438e-35	-1.71908322818299	1	1	9.18049138841843e-32	0	PTX3
8.01304189363609e-35	-0.659118460342079	1	1	1.16589759552405e-31	0	SPON2
2.74573235548974e-34	0.859178724813923	1	1	3.99504057723757e-31	0	PTCH1
4.09439471403125e-34	0.702777850380111	1	1	5.95734430891546e-31	0	MERTK
5.07709778483795e-34	-1.17938477988556	1	1	7.38717727693922e-31	0	CTSK
5.21194492279907e-34	-0.559178012546337	1	1	7.58337986267265e-31	0	TRIM21
7.0617601136804e-34	-1.21401270687719	1	1	1.0274860965405e-30	0	GDF15
1.78684682055551e-33	0.959002138582482	1	1	2.59986212390826e-30	0	TLR4
6.96945680704428e-33	0.670245196183964	1	1	1.01405596542494e-29	0	PARD3
1.12437996688758e-32	0.561013928867284	1	1	1.63597285182143e-29	0	FGF2
2.97267802836899e-32	0.558364844411213	1	1	4.32524653127689e-29	0	PELI2
3.34246351611857e-32	0.826288418274697	1	0.998	4.86328441595252e-29	0	FGF17
1.26224647920444e-31	1.04620159511455	1	1	1.83656862724246e-28	0	CRYAB
1.49088582823559e-31	0.58074054198057	1	1	2.16923888008279e-28	0	SMAD3
1.58384987220131e-31	0.894295954851911	1	1	2.30450156405291e-28	0	IL17D
1.6242629184311e-31	0.569712931607108	1	1	2.36330254631725e-28	0	IRF8
3.99106139891146e-31	0.549644090600025	1	1	5.80699433541617e-28	0	EBI3
7.87109305916051e-31	-2.09670536700446	1	1	1.14524404010785e-27	0	RARRES2
1.15445819496943e-30	0.596763545651875	1	1	1.67973667368052e-27	0	PTPN11
1.17171229025291e-30	-0.777049292029972	0.967	0.998	1.70484138231798e-27	0	STC1
1.50922740257181e-30	0.824790591909255	1	1	2.19592587074198e-27	0	SIGLEC8
1.51672772879981e-30	0.753884476656651	1	1	2.20683884540373e-27	0	PLEC
7.71141364679242e-30	-2.57344131752379	0.431	0.781	1.1220106856083e-26	0	PLA2G2A
8.71375160134537e-30	-1.09753874921301	1	1	1.26785085799575e-26	0	PDGFA
1.70045267310007e-29	-0.603572423368391	1	1	2.4741586393606e-26	0	SEMA3F
4.94003264664408e-29	-0.599587881115981	1	1	7.18774750086713e-26	0	SOCS1
1.1801009243132e-28	0.53555675239388	1	1	1.71704684487571e-25	0	AR
1.18577257016706e-28	-0.740923914994506	1	1	1.72529908959307e-25	0	RCAN1
2.32705755180743e-28	0.578486249994678	1	1	3.38586873787981e-25	0	RICTOR
