id	orig.ident	nCount_RNA	nFeature_RNA	percent.mt	RNA_snn_res.1	seurat_clusters
IS1_A1	IS1	19198.59	1327	0	1	1
IS1_A2	IS1	23989.25	1320	0	1	1
IS1_A3	IS1	20982.99	1293	0	1	1
IS1_A4	IS1	26164.02	1327	0	5	5
IS1_A5	IS1	26574.07	1283	0	1	1
IS1_A6	IS1	26111.41	1270	0	5	5
IS1_A7	IS1	20353.40	1309	0	1	1
IS1_A8	IS1	14594.23	1327	0	1	1
IS1_A9	IS1	29401.37	1308	0	5	5
IS1_A10	IS1	23498.45	1342	0	3	3
IS1_A11	IS1	23847.22	1297	0	1	1
IS1_A12	IS1	20486.87	1292	0	1	1
IS1_A13	IS1	23396.65	1304	0	1	1
IS1_A14	IS1	20029.07	1302	0	1	1
IS1_A15	IS1	28789.97	1328	0	5	5
IS1_A16	IS1	23471.56	1293	0	1	1
IS1_A17	IS1	28936.49	1303	0	5	5
IS1_A18	IS1	25547.90	1340	0	5	5
IS1_A19	IS1	21354.15	1294	0	1	1
IS1_A20	IS1	24917.05	1315	0	5	5
IS1_A21	IS1	27711.84	1288	0	3	3
IS1_A22	IS1	17517.22	1294	0	1	1
IS1_A23	IS1	26489.63	1282	0	3	3
IS1_A24	IS1	28111.75	1285	0	5	5
IS1_A25	IS1	20246.29	1309	0	1	1
IS1_A26	IS1	20326.31	1301	0	1	1
IS1_A27	IS1	19718.14	1313	0	1	1
IS1_A28	IS1	22247.08	1314	0	1	1
IS1_A29	IS1	24017.97	1319	0	5	5
IS1_A30	IS1	18891.30	1296	0	1	1
IS1_A31	IS1	18893.59	1221	0	1	1
IS1_A32	IS1	28116.46	1299	0	5	5
IS1_A33	IS1	25229.78	1325	0	5	5
IS1_A34	IS1	31125.88	1336	0	5	5
IS1_A35	IS1	25947.20	1312	0	5	5
IS1_A36	IS1	16719.40	1305	0	1	1
IS1_A37	IS1	35420.99	1322	0	5	5
IS1_A38	IS1	21330.15	1309	0	1	1
IS1_A39	IS1	19570.76	1291	0	1	1
IS1_A40	IS1	25022.74	1320	0	3	3
IS1_A41	IS1	25601.08	1290	0	5	5
IS1_A42	IS1	24779.17	1260	0	5	5
IS1_A43	IS1	24415.74	1292	0	5	5
IS1_A44	IS1	19288.17	1316	0	1	1
IS1_A45	IS1	27158.76	1281	0	1	1
IS1_A46	IS1	21544.19	1310	0	1	1
IS1_A47	IS1	23108.71	1313	0	3	3
IS1_A48	IS1	23603.03	1327	0	5	5
IS1_A49	IS1	23715.23	1313	0	1	1
IS1_A50	IS1	31667.68	1315	0	5	5
IS1_A51	IS1	24289.66	1281	0	5	5
IS1_A52	IS1	18092.42	1329	0	1	1
IS1_A53	IS1	20525.62	1312	0	1	1
IS1_A54	IS1	19414.16	1334	0	1	1
IS1_A55	IS1	23128.19	1265	0	1	1
IS1_A56	IS1	29449.16	1314	0	5	5
IS1_A57	IS1	27623.67	1341	0	5	5
IS1_A58	IS1	41729.80	1296	0	5	5
IS1_A59	IS1	21924.66	1268	0	1	1
IS1_A60	IS1	23787.58	1345	0	5	5
IS1_A61	IS1	26696.02	1264	0	5	5
IS1_A62	IS1	21707.50	1320	0	5	5
IS1_A63	IS1	28762.23	1305	0	5	5
IS1_A64	IS1	31019.53	1319	0	5	5
IS1_A65	IS1	23758.99	1331	0	5	5
IS1_A66	IS1	20565.87	1317	0	1	1
IS1_A67	IS1	16568.31	1332	0	1	1
IS1_A68	IS1	20883.41	1304	0	1	1
IS1_A69	IS1	43816.84	1314	0	5	5
IS1_A70	IS1	32829.81	1320	0	5	5
IS1_A71	IS1	16336.64	1299	0	1	1
IS1_A72	IS1	23319.39	1266	0	1	1
IS1_A73	IS1	27315.10	1285	0	5	5
IS1_A74	IS1	21755.28	1304	0	1	1
IS1_A75	IS1	29732.30	1335	0	5	5
IS1_A76	IS1	26404.62	1302	0	5	5
IS1_A77	IS1	21341.06	1308	0	1	1
IS1_A78	IS1	29513.51	1318	0	5	5
IS1_A79	IS1	19922.55	1324	0	1	1
IS1_A80	IS1	29749.99	1339	0	5	5
IS1_A81	IS1	25008.54	1293	0	5	5
IS1_A82	IS1	24980.04	1297	0	1	1
IS1_A83	IS1	20403.55	1261	0	1	1
IS1_A84	IS1	27173.83	1288	0	5	5
IS1_A85	IS1	23993.77	1297	0	1	1
IS1_A86	IS1	26382.34	1293	0	5	5
IS1_A87	IS1	21642.01	1291	0	1	1
IS1_A88	IS1	26298.57	1275	0	1	1
IS1_A89	IS1	25937.08	1249	0	5	5
IS1_A90	IS1	26171.09	1321	0	5	5
IS1_A91	IS1	24566.27	1340	0	5	5
IS1_A92	IS1	17889.10	1333	0	3	3
IS1_A93	IS1	24144.09	1303	0	3	3
IS1_A94	IS1	23955.44	1294	0	1	1
IS1_A95	IS1	19615.33	1287	0	1	1
IS1_A96	IS1	29217.65	1312	0	3	3
IS1_A97	IS1	30078.28	1293	0	5	5
IS1_A98	IS1	29085.29	1240	0	1	1
IS1_A99	IS1	23479.06	1323	0	5	5
IS1_A100	IS1	20067.89	1320	0	1	1
IS1_A101	IS1	23140.99	1300	0	5	5
IS1_A102	IS1	23248.82	1306	0	1	1
IS1_A103	IS1	27836.05	1311	0	5	5
IS1_A104	IS1	20265.11	1316	0	1	1
IS1_A105	IS1	21400.67	1281	0	1	1
IS1_A106	IS1	20500.16	1326	0	1	1
IS1_A107	IS1	18268.26	1290	0	1	1
IS1_A108	IS1	30282.89	1278	0	1	1
IS1_A109	IS1	22368.71	1320	0	3	3
IS1_A110	IS1	21118.08	1283	0	1	1
IS1_A111	IS1	19638.42	1254	0	1	1
IS1_A112	IS1	21158.68	1312	0	1	1
IS1_A113	IS1	20920.19	1276	0	1	1
IS1_A114	IS1	27810.77	1308	0	5	5
IS1_A115	IS1	26799.32	1326	0	5	5
IS1_A116	IS1	21213.83	1302	0	3	3
IS1_A117	IS1	21688.18	1278	0	1	1
IS1_A118	IS1	22433.52	1271	0	1	1
IS1_A119	IS1	25735.14	1312	0	3	3
IS1_A120	IS1	27625.10	1289	0	5	5
IS1_A121	IS1	25469.27	1305	0	1	1
IS1_A122	IS1	35756.04	1329	0	5	5
IS1_A123	IS1	21918.61	1326	0	5	5
IS1_A124	IS1	22971.64	1308	0	1	1
IS1_A125	IS1	26967.77	1313	0	5	5
IS1_A126	IS1	22116.52	1277	0	1	1
IS1_A127	IS1	24872.52	1289	0	5	5
IS1_A128	IS1	23327.77	1295	0	1	1
IS1_A129	IS1	22763.77	1325	0	5	5
IS1_A130	IS1	24610.35	1284	0	1	1
IS1_A131	IS1	26367.06	1319	0	5	5
IS1_A132	IS1	31992.54	1309	0	5	5
IS1_A133	IS1	50442.66	1284	0	5	5
IS1_A134	IS1	23625.52	1313	0	1	1
IS1_A135	IS1	17786.90	1300	0	1	1
IS1_A136	IS1	22854.89	1298	0	1	1
IS1_A137	IS1	25040.63	1342	0	5	5
IS1_A138	IS1	20046.40	1307	0	1	1
IS1_A139	IS1	18583.32	1271	0	1	1
IS1_A140	IS1	25653.88	1291	0	5	5
IS1_A141	IS1	16517.02	1322	0	0	0
IS1_A142	IS1	21882.54	1294	0	1	1
IS1_A143	IS1	21695.53	1311	0	3	3
IS1_A144	IS1	30746.99	1303	0	5	5
IS1_A145	IS1	22106.89	1295	0	3	3
IS1_A146	IS1	19668.58	1309	0	1	1
IS1_A147	IS1	24060.16	1332	0	5	5
IS1_A148	IS1	24486.55	1302	0	5	5
IS1_A149	IS1	21021.91	1296	0	1	1
IS1_A150	IS1	23023.22	1289	0	1	1
IS1_A151	IS1	19439.05	1304	0	1	1
IS1_A152	IS1	20051.90	1305	0	3	3
IS1_A153	IS1	26941.62	1291	0	5	5
IS1_A154	IS1	24686.55	1319	0	5	5
IS1_A155	IS1	25616.46	1315	0	5	5
IS1_A156	IS1	20148.84	1304	0	1	1
IS1_A157	IS1	35659.07	1297	0	5	5
IS1_A158	IS1	25192.29	1291	0	1	1
IS1_A159	IS1	19774.36	1315	0	1	1
IS1_A160	IS1	19713.41	1289	0	1	1
IS1_A161	IS1	22443.58	1352	0	1	1
IS1_A162	IS1	29395.57	1287	0	5	5
IS1_A163	IS1	21378.29	1303	0	1	1
IS1_A164	IS1	32829.00	1293	0	5	5
IS1_A165	IS1	34472.87	1331	0	5	5
IS1_A166	IS1	17050.82	1231	0	1	1
IS1_A167	IS1	17287.41	1315	0	1	1
IS1_A168	IS1	26789.71	1314	0	5	5
