Gene_Name	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-H	HLA-J	HLA-L
CGGA_1001	515.96	1337.39	238.72	636.79	276	77.09	1.75	1544.51	589.65	1.45	605.23	0.45	686.17	2059.88	1624.46	1157.15	534.04	139.28	6.9	0.39	0.55
CGGA_1006	112.74	406.33	56.1	31.27	40.71	7.47	1.02	202.35	74.1	0.29	1.61	1.48	1.41	170.15	17.51	0.43	149.96	62.55	7.84	0.07	0.23
CGGA_1007	182.44	643.55	66.82	35.35	19.78	3.26	0.5	103.63	36.94	0.24	17.72	0.11	45.29	146.93	131.43	85.98	405.26	32.04	0.97	0.95	0.55
CGGA_1011	406.55	469.09	95.99	210.4	143.1	38.61	3.18	1279.69	476.04	1.09	8.28	22.27	1.86	1268.71	144.81	11.75	262.78	35.68	5.72	0.14	1.24
CGGA_1015	557.74	940.64	990.65	162.37	136.25	22.11	2.29	652.91	268.84	1.64	113.41	0.07	76.35	731.72	325.11	49.42	506.02	87.12	4.08	0.86	0.93
CGGA_1019	551.99	484.92	44.14	93.26	64.6	9.02	0.24	287.35	111.72	0.3	76.25	0.04	281.54	298.91	438.96	399.09	230.17	46.71	9.57	2.03	0.81
CGGA_1022	557.25	236.35	118.38	72.67	49.29	11.16	0.55	181.39	62.1	0.61	1.37	2.8	0.11	290.93	34.92	0.5	265.88	36.12	4.58	0.3	0.72
CGGA_1023	433.57	148.01	20.35	34.65	8.23	1.7	10.04	57.22	18.71	0	15.03	0.92	25.23	58.54	11.37	0.9	140.13	28.68	9.81	5.86	0.51
CGGA_1024	412.78	254.59	58.01	34.67	27.52	7.3	0.18	213.04	66.21	0	20.08	0.92	12.61	199.55	43.85	6.14	172.15	33.54	2.55	1.45	0.84
CGGA_1026	494.09	382.9	50.74	34.8	34.73	6.01	1.28	130.11	42.62	0.31	1.35	2.25	0.21	200.84	20.52	1.55	301.32	59.01	9.92	0	1.12
CGGA_1034	256.11	215.96	16.32	51.53	49.7	14.53	1.79	243.26	65.49	0.06	2.37	1.8	0.11	344.57	33.68	5.48	188.58	37.03	11.13	0.52	0.31
CGGA_1035	661.97	904.35	40.75	44.98	20.89	9.73	1.23	138.36	96.19	0.35	23.68	0.2	37.88	228.56	35.31	9.94	164.94	35.55	1.63	1.65	1.17
CGGA_1039	228.32	96.93	23.67	17.57	20.3	2.93	0.15	67.34	33.59	0	10.35	0.08	9.36	74.31	80.49	69.74	76.46	11.13	3.44	0.33	1.45
CGGA_1045	847.69	1626.28	171.31	78.37	57.92	7.62	1.31	268.93	99.94	0.17	71.35	5.23	96.96	518.82	106.42	7.64	349.58	167.79	65.67	6	0.98
CGGA_1049	219.33	377.76	62.05	23.63	13.68	1.96	0.69	45.79	22.54	0.24	16.5	1.39	7.91	129.59	13.66	0.45	175.08	17.14	2.59	1.85	0.46
CGGA_1052	137.96	355.77	221.53	39.32	27.09	7.08	0.85	248.2	149.02	0.39	65.36	3.13	63.33	358.25	51.54	2.55	188.34	61.25	2.09	1.57	0.37
CGGA_1072	726.06	793.98	1069.29	30.08	34.69	5.62	0.25	152.56	25.74	0.04	86.22	1.8	28.31	251.8	23.99	1.21	191.24	99.48	9.17	0.56	1.37
CGGA_1077	99.05	298.89	102.31	80.31	59.52	3.29	1.26	133.92	80.93	0.08	1.47	1.3	0.82	156.52	34.46	4.1	351.86	91.91	1.09	0.97	0.24
