Tumor_Sample_Barcode	C>A	C>G	C>T	T>C	T>A	T>G
TCGA.02.0047	3	2	55	8	7	4
TCGA.02.0055	3	2	49	7	4	1
TCGA.02.2483	11	2	21	14	3	1
TCGA.02.2485	10	3	44	8	2	3
TCGA.02.2486	6	2	50	4	3	5
TCGA.06.0125	2	3	55	6	6	2
TCGA.06.0129	3	7	23	1	0	2
TCGA.06.0130	5	2	18	4	3	3
TCGA.06.0132	1	0	18	3	1	1
TCGA.06.0139	1	0	2	1	1	0
TCGA.06.0141	3	0	6	7	1	1
TCGA.06.0152	13	4	39	5	1	7
TCGA.06.0157	6	4	47	2	4	0
TCGA.06.0158	2	9	41	5	5	3
TCGA.06.0168	3	5	26	8	3	2
TCGA.06.0171	10	4	36	6	2	1
TCGA.06.0174	9	5	54	10	1	3
TCGA.06.0184	1	4	51	3	5	2
TCGA.06.0187	3	1	30	6	6	4
TCGA.06.0190	5	2	54	4	2	0
TCGA.06.0210	8	10	46	4	3	3
TCGA.06.0211	9	8	40	6	7	2
TCGA.06.0219	7	6	24	9	1	2
TCGA.06.0221	5	2	23	7	3	0
TCGA.06.0238	9	5	20	7	4	1
TCGA.06.0644	4	3	44	8	5	0
TCGA.06.0645	6	5	48	5	2	2
TCGA.06.0646	3	4	25	3	4	2
TCGA.06.0649	17	10	62	11	10	7
TCGA.06.0686	7	8	40	10	5	6
TCGA.06.0743	10	7	80	8	5	5
TCGA.06.0744	10	5	59	7	4	0
TCGA.06.0745	8	10	25	7	6	2
TCGA.06.0747	8	8	52	13	6	3
TCGA.06.0749	5	1	45	5	3	1
TCGA.06.0750	11	5	28	5	3	2
TCGA.06.0878	8	3	27	6	3	6
TCGA.06.0882	5	3	24	7	1	1
TCGA.06.1804	15	9	57	10	7	0
TCGA.06.2557	6	2	38	8	4	4
TCGA.06.2558	10	7	55	16	10	1
TCGA.06.2559	12	3	51	7	2	1
TCGA.06.2561	4	3	22	3	1	3
TCGA.06.2562	3	3	47	13	2	4
TCGA.06.2563	14	8	49	7	4	3
TCGA.06.2564	2	5	57	4	1	2
TCGA.06.2565	5	4	44	5	1	2
TCGA.06.2567	5	2	52	5	3	3
TCGA.06.2569	9	4	14	5	1	2
TCGA.06.2570	5	3	20	7	2	0
TCGA.06.5408	4	2	37	9	3	1
TCGA.06.5410	3	3	17	2	1	2
TCGA.06.5411	4	1	24	8	2	0
TCGA.06.5412	6	5	42	3	6	1
TCGA.06.5413	6	5	31	7	3	2
TCGA.06.5414	6	1	26	3	1	1
TCGA.06.5416	4151	40	9457	1294	112	779
TCGA.06.5417	9	5	28	14	4	3
TCGA.06.5418	2	1	47	2	2	0
TCGA.06.5856	16	6	25	7	4	8
TCGA.06.5858	5	0	219	12	1	3
