id	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-DRB6	HLA-E	HLA-F	HLA-G	HLA-H	HLA-J	HLA-L
TCGA.12.0618.01A.01R.1849.01	197.6546914	108.2273598	114.3068885	9.146635323	5.196835793	4.372409636	0.240427236	19.46197726	28.66833207	0.107383126	5.744462416	0.157833466	12.04512845	0.118608581	194.3366122	91.13731071	52.41660142	0.336888238	84.58974903	3.18142914	0.66269337	3.511506601	1.955766113	1.270261428
TCGA.02.2485.01A.01R.1849.01	229.5373864	252.6921279	283.8513542	17.7932598	7.470720083	4.103968257	1.438891448	39.57138237	42.5042984	0.556970898	10.55536563	8.882575504	10.49647634	3.881585484	357.9035316	155.4572002	21.01586337	6.112558589	137.2069614	3.655232233	0.421229645	5.594876245	0.246720221	0.454807775
TCGA.15.0742.01A.01R.1850.01	377.7987082	197.1558771	200.9718055	15.22470482	5.078482611	3.425031937	0.8636437	25.07388491	34.57721489	0.155379841	4.629767461	0.207618017	14.69690978	0.122587646	204.4480887	138.7586177	122.9765299	0.187486988	142.6237378	4.247391662	0.282028072	5.959492247	0.843722738	0.562451675
TCGA.06.0210.01A.01R.1849.01	428.4420334	460.1220439	246.3249001	34.88446594	19.5960113	10.10779979	0.417964153	53.32980535	58.89259586	0.04735228	13.17141237	2.0506893	31.64414614	0.149435204	585.0670171	193.0404307	11.03383291	9.184771093	160.2114661	5.784350396	0.698331983	27.85834879	1.066440582	1.338422307
TCGA.28.5204.01A.01R.1850.01	665.4785361	768.8469546	730.1018143	23.27861525	13.52390413	7.329841023	0.816446934	35.05864447	51.96030933	0.338606786	8.568848741	1.905440814	10.1416323	1.421213494	469.2074239	213.0356022	29.84039489	5.981542507	233.3530009	12.71202557	0.430220761	13.99904261	1.551706008	0.385784153
TCGA.06.0168.01A.01R.1849.01	464.8332161	565.3138529	461.9859078	50.98898302	20.13700246	11.06088803	0.351880636	76.12243955	125.2070983	0.408621388	12.62378766	9.330724614	15.46495303	2.82085771	1068.161848	349.1456678	110.9763802	20.70841425	251.1064276	12.85529287	1.807854128	13.94383204	2.300683459	2.508883365
TCGA.28.2514.01A.02R.1850.01	533.2460525	344.669595	325.7944589	14.16755372	6.519905981	5.749675465	0.614410924	29.63992723	40.23207729	0.455154023	2.952208353	7.839355671	3.114496911	1.271393509	275.644967	82.306579	31.64794685	9.395866351	232.7477599	8.163953801	1.473663285	11.81658502	3.15591926	2.438392962
TCGA.06.0221.02A.11R.2005.01	73.27555826	79.48226316	60.08710125	9.24660082	4.854411951	3.116645735	1.212577962	24.36013855	28.58389915	0.112648493	3.62647811	5.410675633	2.490027856	1.11093188	156.2293783	71.63200163	10.7641893	5.284114815	68.64931672	2.277876015	0.178908553	1.829510191	0.261973239	0.712110362
TCGA.14.1829.01A.01R.1850.01	658.2391823	466.5928209	364.3512812	46.76105858	52.12368876	14.34288151	0.783565112	99.26501412	121.9990832	0.323868046	21.5836333	2.056305054	14.93924072	1.788620372	2338.288737	533.9896226	17.3904656	31.07718951	197.6292324	8.382450359	1.147705146	24.31543203	1.736659103	2.048460839
TCGA.06.0152.02A.01R.2005.01	532.1474971	632.1737497	473.0666247	34.43821595	19.46941997	13.84564739	1.442177711	89.97812841	102.5781059	0.653263033	20.66107129	37.24737161	16.06273334	11.43239592	796.5354939	330.8360093	39.45595601	23.4468849	180.5221776	13.95757841	0.463512573	49.60810983	0.965320249	2.281862716
TCGA.06.0187.01A.01R.1849.01	663.8352619	704.8497458	620.4515662	26.38170649	11.24738692	5.70714413	0.528149983	36.20346155	42.39654127	0.089441649	5.849519656	3.487788354	14.54911939	1.058481058	426.8123567	163.5974779	107.1677269	8.649302361	254.6714067	15.42466768	0.475437339	21.93605416	1.075989767	1.979391167
TCGA.06.0744.01A.01R.1849.01	348.8476214	222.2780593	206.3596641	30.14246214	16.85435871	5.848351321	0.744901595	30.46295434	54.91974501	0.175706573	9.474976631	4.441442155	21.32115153	2.12202143	439.7225949	247.0339894	106.2563513	1.630876653	107.4583695	5.373982716	0.294390349	7.458403679	0.833783194	0.612818567
TCGA.26.5139.01A.01R.1850.01	291.8257091	481.3874151	301.0779479	22.24394607	10.78597146	8.394429003	0.427616389	31.30004505	52.64795486	0.193110374	6.614236394	4.431329158	13.10954366	0.870601853	386.5655872	111.6012098	24.99487557	10.33583642	200.3043726	3.781644218	0.938872248	14.27687747	1.661309736	1.816094444
TCGA.06.0125.01A.01R.1849.01	142.4090484	109.4432522	73.66243027	11.37021808	5.228179113	3.053618361	0.1875457	21.77954209	31.34424135	0.114624971	5.247563259	0.252716471	8.444475816	0.217041365	210.3654774	100.7433945	50.53687595	0.525580559	83.54407274	1.985213679	0.228859839	9.370800521	0.482631455	0.679629254
TCGA.06.0190.02A.01R.2005.01	327.1718719	437.3184922	290.7582441	51.68097972	19.65012141	15.0569009	0.528301146	108.0224307	126.2881712	0.140591391	11.82933089	33.92174053	18.43137915	8.298849904	1195.937472	445.8464301	57.4213381	38.07707603	198.4750899	8.020673803	0.603166283	21.53184674	0.800965753	0.913826629
TCGA.12.0616.01A.01R.1849.01	468.4969462	445.8909576	374.9394619	41.16806601	21.97072918	13.70429355	0.905872439	103.2380188	84.84077926	0.660043526	21.69177258	5.478707745	15.71371975	4.60533328	1081.801026	451.8817928	64.85189564	12.2700399	181.04051	10.32933155	0.561579858	15.20629473	1.050252856	0.779342946
TCGA.76.4928.01B.01R.1850.01	510.7030306	611.472186	337.0826895	22.75319761	11.85588194	5.260496777	0.256751692	34.04722564	51.03509529	0.092530211	5.369284317	0.107938421	19.05615842	0.186561022	403.2132469	192.0869157	107.2762957	1.141314488	148.7118599	11.55502919	1.82879399	30.75335001	2.395995134	1.437304482
TCGA.06.0156.01A.03R.1849.01	412.4765442	319.412179	173.9634969	37.05987589	20.30867332	10.83806496	0.837598562	77.38536737	77.45629284	0.246794666	9.38900723	28.18115405	12.76483301	5.749665724	1233.447075	294.2476422	64.90861012	27.30922785	152.8501962	5.173011987	0.527004725	7.608354229	2.757760251	1.160331815
TCGA.06.0686.01A.01R.1849.01	328.9101413	277.0821535	140.9169203	28.76057071	14.16286187	7.85585762	0.302085104	53.84848496	61.939244	0.37778066	13.1513076	1.274850371	28.80676577	0.702550678	403.5169674	225.5426692	190.792083	1.237290677	130.4826281	4.643641987	1.297941818	5.436259757	2.166673482	1.607785863
TCGA.06.0750.01A.01R.1849.01	614.9616687	593.7006841	550.6250124	52.56443081	22.57418134	12.89546741	0.91130157	79.41072035	115.296057	0.391944055	16.60042729	16.11668468	11.47912279	1.855356474	1177.612244	342.5703254	76.69660811	19.65829006	235.5686972	16.0845704	0.829981739	26.24403989	3.709955968	2.71501059
TCGA.28.1747.01C.01R.1850.01	550.2750516	583.8393659	457.0993994	36.65903697	20.77230347	9.637427422	0.988797235	81.34187386	53.09154216	0.21117072	9.89853223	2.078451968	24.75141309	1.759755999	572.8170755	313.2419659	16.77634053	15.75021433	402.4523522	11.91057331	0.562962214	14.79736432	0.891724582	0.820899801
TCGA.41.5651.01A.01R.1850.01	221.1583014	159.9694079	161.7575618	11.40050408	4.45108186	4.485731713	0.266467406	20.85727265	27.99219577	0.201132929	4.342010798	1.202005795	9.96452258	1.245065015	174.7342322	100.4240864	45.9143009	2.016229851	82.66862424	2.331810737	0.772271817	3.229871856	0.287846768	0.32376879
TCGA.19.2629.01A.01R.1850.01	573.789548	378.4735289	510.0040261	55.73038059	17.07996732	29.40222676	0.916210338	118.4197381	119.4181667	0.212789851	19.60060116	4.350448672	19.91787546	3.207420985	899.1491148	449.3802844	66.14440077	11.82447373	267.7331127	7.279910728	1.138368847	6.556183651	1.732695816	1.129508344
TCGA.32.4213.01A.01R.1850.01	1161.576126	803.6270255	679.5362205	72.29951793	30.53696802	18.23754495	0.695769134	115.9506864	270.5349428	0.969554289	15.04929654	55.13650812	24.57891297	11.19353933	1849.020825	421.0919016	169.1230995	69.45303926	310.2573725	13.87416854	1.261208831	10.37965662	3.196245881	1.822280662
TCGA.06.0157.01A.01R.1849.01	248.7357871	276.9342994	197.7593306	41.19991259	19.78213956	12.8644084	0.717675402	97.48763531	90.374788	0.281885484	13.25695642	28.43623961	15.17891051	5.666234235	844.0325461	306.3371135	68.05715505	26.5895521	117.1687859	3.798140579	0.42266486	6.280025696	0.480034883	0.712422342
TCGA.76.4925.01A.01R.1850.01	228.3091973	183.4511441	145.1428861	8.481028818	4.068363618	2.097954209	0.111396782	11.92472055	14.71420038	0.140139472	1.100561177	0.577194676	1.899242436	0.714411509	111.4513051	53.04004555	5.845133532	2.991723268	99.39448667	1.374432408	0.215232314	2.848427224	0.5911165	0.419840743
TCGA.06.2565.01A.01R.1849.01	267.5361128	302.4202989	239.1179212	28.78690278	12.80652244	9.829961497	1.167319873	64.86230653	84.08342195	0.497449616	16.47393415	19.49323559	17.78808413	2.649139965	593.1153948	234.0454664	162.1685747	10.74431146	184.4526454	5.315905611	0.564321742	20.75127411	1.083794756	1.738588666
TCGA.06.0158.01A.01R.1849.01	233.9041656	308.4622636	309.8251314	35.74503004	17.60259634	16.60686764	2.428133989	85.58030715	86.18363792	0.160469058	18.33932094	20.93859477	30.91207726	3.816170333	693.9427112	249.7888644	34.32072918	18.38081261	229.0226728	7.97857606	0.353679474	24.36318548	0.549955157	1.432499183
TCGA.06.5413.01A.01R.1849.01	373.0674996	318.4221819	319.5819566	58.2116981	32.23271479	16.95209972	1.10192373	110.7272828	115.5536359	0.329042297	21.04418212	3.262594952	23.30790821	3.67285141	1623.488599	533.4507584	63.46396046	14.10207531	242.2701666	7.836345196	0.973281137	18.76937676	1.754176259	0.378995803
TCGA.76.4926.01B.01R.1850.01	223.7277254	222.3405162	147.590156	18.4400383	8.97800106	5.49719503	0.076151751	35.1417179	41.88046851	0.210024149	4.171982525	5.5704706	5.106794805	2.223862061	344.1079878	100.4345383	21.36386	10.17692631	250.4074924	3.983681894	0.431371809	8.246049966	0.703553164	1.291529546
TCGA.06.5417.01A.01R.1849.01	169.1490869	143.9279413	105.2929184	10.57001972	5.931495149	2.019307923	0.266957999	13.87867327	28.99747972	0.103334992	4.439511142	1.464590441	8.529772603	0.611449658	209.5762811	91.73357897	11.21922773	5.236886483	81.25082816	1.808719348	1.031591527	9.126667195	0.708293704	0.525591241
TCGA.06.2562.01A.01R.1849.01	280.5957482	222.556408	175.5207656	20.9174489	10.03604384	7.48047818	0.234096804	34.56060848	37.89766555	0.098852696	3.504868211	8.043132733	6.05936386	1.569554638	376.2580735	149.8709967	13.60401386	7.932071522	143.0057924	2.986981505	0.51585071	11.11190888	2.262601484	1.960892713
