Sample ID	Expression	Subtype
TCGA.12.0618	0.78	IS1
TCGA.02.2485	1.11	IS1
TCGA.15.0742	1.53	IS1
TCGA.28.5204	0.75	IS1
TCGA.06.0168	0.69	IS1
TCGA.28.2514	0.89	IS1
TCGA.14.1829	0.81	IS1
TCGA.06.0152	1.06	IS1
TCGA.06.0187	0.81	IS1
TCGA.06.0744	1.25	IS1
TCGA.26.5139	0.81	IS1
TCGA.06.0125	1.25	IS1
TCGA.12.0616	0.67	IS1
TCGA.76.4928	1.61	IS1
TCGA.06.0686	1.03	IS1
TCGA.06.0750	0.86	IS1
TCGA.28.1747	0.86	IS1
TCGA.41.5651	1.56	IS1
TCGA.32.4213	0.75	IS1
TCGA.06.0157	0.92	IS1
TCGA.76.4925	1.11	IS1
TCGA.06.2565	1.03	IS1
TCGA.06.0158	0.89	IS1
TCGA.06.5413	0.92	IS1
TCGA.76.4926	1.14	IS1
TCGA.06.2562	1.17	IS1
TCGA.41.3915	0.56	IS1
TCGA.06.0130	0.53	IS1
TCGA.06.0745	1	IS1
TCGA.19.5960	0.92	IS1
TCGA.06.0645	1.06	IS1
TCGA.06.5858	3.22	IS1
TCGA.19.1787	11.36	IS1
TCGA.12.3652	1.17	IS1
TCGA.28.5220	0.64	IS1
TCGA.08.0386	0.22	IS1
TCGA.06.5414	0.5	IS1
TCGA.28.5215	0.53	IS1
TCGA.06.2557	0.86	IS1
TCGA.26.5132	0.94	IS1
TCGA.19.1389	20.39	IS1
TCGA.32.1982	1.44	IS1
TCGA.19.2624	0.83	IS1
TCGA.06.2570	0.67	IS1
TCGA.32.2634	0.92	IS1
TCGA.12.3650	0.97	IS1
TCGA.06.0219	0.81	IS1
TCGA.06.0141	0.33	IS1
TCGA.02.2486	1.22	IS1
TCGA.28.5209	1.58	IS1
TCGA.12.5295	1.47	IS1
TCGA.06.0649	1.78	IS1
TCGA.28.2513	1.61	IS1
TCGA.06.0644	0.92	IS1
TCGA.32.2615	0.67	IS1
TCGA.41.2571	0.78	IS1
TCGA.28.2510	0.56	IS1
TCGA.06.2559	1.11	IS1
TCGA.06.5410	0.44	IS1
TCGA.06.5412	1.03	IS1
TCGA.27.1835	1.25	IS1
TCGA.76.4932	1.14	IS1
TCGA.28.2499	0.56	IS1
TCGA.19.2625	1	IS1
TCGA.19.4065	0.97	IS1
TCGA.06.5418	0.64	IS1
TCGA.12.0821	1.33	IS1
TCGA.06.2558	1.53	IS1
TCGA.06.0190	1.03	IS1
TCGA.06.0211	1.11	IS1
TCGA.28.5208	1.19	IS1
TCGA.26.5134	1.03	IS1
