id	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Gamma delta T cell	Immature  B cell	Memory B cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Activated dendritic cell	CD56bright natural killer cell	Eosinophil	Immature dendritic cell	Macrophage	Mast cell	MDSC	Monocyte	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell	Pseudotime	CancerType
IS1_A1	0.272636847	0.645099967	0.592879515	0.844223434	0.733375691	0.723075848	0.626366266	0.704377514	0.39553738	0.564474641	0.68152041	0.677970138	0.616011336	0.457261931	0.662419633	0.645759043	0.795600341	0.44562521	0.741931814	0.558116659	0.50885339	0.710790521	0.83778856	0.745302497	0.575319389	0.327924469	0.803480078	9.71833167	IS1
IS1_A2	0.356055117	0.703003725	0.73514233	0.875407701	0.745785329	0.740031257	0.691167573	0.693667255	0.481160062	0.574236431	0.631470039	0.712224764	0.643519112	0.480990336	0.696735394	0.652692716	0.814192966	0.495962471	0.754059206	0.598697829	0.541342024	0.760956779	0.840189441	0.770996419	0.618412365	0.328118308	0.78976434	9.107047929	IS1
IS1_A3	0.282236056	0.640631636	0.644066646	0.888323316	0.764292033	0.709770658	0.663099837	0.708455033	0.370666043	0.508615582	0.67174113	0.702573231	0.602311829	0.466589653	0.639683982	0.683399696	0.800420764	0.358409067	0.761324279	0.593826024	0.501257344	0.74114288	0.828017674	0.746733717	0.580224927	0.407357025	0.788160351	9.608085846	IS1
IS1_A4	0.381949142	0.68824225	0.722364443	0.932805958	0.808001527	0.742714067	0.731015341	0.782945686	0.530394364	0.568665864	0.804790396	0.73199146	0.687450283	0.515656879	0.673410343	0.779019556	0.80303482	0.42733172	0.824205553	0.686599858	0.654398143	0.880678477	0.883024259	0.796312929	0.625171734	0.53563294	0.849851983	2.307058038	IS1
IS1_A5	0.413403376	0.714085658	0.725255452	0.889246972	0.776002857	0.759220408	0.706384157	0.720109567	0.538350451	0.503393214	0.676035702	0.73199	0.655513416	0.484034811	0.699833726	0.711855458	0.790059694	0.413599167	0.775269242	0.629912277	0.519274309	0.798282556	0.825776844	0.772916855	0.612483089	0.375793992	0.811811922	8.926350925	IS1
IS1_A6	0.338578152	0.719228337	0.718971205	0.928265327	0.783508272	0.77092061	0.72612331	0.796212812	0.514493954	0.542422509	0.784959493	0.774791419	0.698565006	0.51274382	0.704115812	0.715575798	0.821989797	0.39618365	0.792374437	0.688952921	0.674687182	0.904460205	0.873631917	0.811367929	0.657564552	0.380499295	0.790456109	2.107951869	IS1
IS1_A7	0.355009939	0.653547222	0.629235074	0.888839055	0.749733042	0.74523324	0.695158338	0.713599373	0.435430078	0.541147427	0.64965767	0.722562479	0.648529681	0.502651371	0.674068433	0.695915037	0.799344957	0.452168512	0.797072019	0.594140873	0.493118202	0.754969006	0.837113645	0.775116034	0.60744555	0.395805541	0.806140334	9.422423117	IS1
IS1_A8	0.360323443	0.660640599	0.60394326	0.852506147	0.734352951	0.757796605	0.620407636	0.715741476	0.406626232	0.546216818	0.629502436	0.693454632	0.599664795	0.463240844	0.670536626	0.633174314	0.787926797	0.428498994	0.739447828	0.57368508	0.496388199	0.699161658	0.826264798	0.75715904	0.543070667	0.365852322	0.785958468	33.11836236	IS1
IS1_A9	0.398945962	0.713945844	0.768135325	0.898224877	0.719864389	0.748451855	0.68838578	0.772176365	0.531336498	0.577729812	0.760557583	0.76052546	0.663807412	0.460591914	0.673155663	0.72491151	0.786919358	0.472513249	0.79192272	0.658889573	0.586964053	0.863569261	0.857346475	0.772008879	0.589642312	0.423683991	0.772622194	1.577358365	IS1
IS1_A10	0.512793807	0.787860428	0.818825788	0.937292354	0.789684785	0.802502845	0.772575134	0.77301453	0.561911805	0.597189124	0.799345442	0.779892305	0.728435097	0.520078464	0.740155844	0.753637788	0.820745546	0.484419776	0.819607682	0.679194741	0.588333511	0.906538093	0.850569366	0.786262751	0.642032692	0.423692078	0.816573776	2.587034858	IS1
IS1_A11	0.340667882	0.689484172	0.689959204	0.909276101	0.77159645	0.763959273	0.736851498	0.751165937	0.517493693	0.589780567	0.763052111	0.755929404	0.665098093	0.521510086	0.653351484	0.73167916	0.801655247	0.428408101	0.79990046	0.652591511	0.613857946	0.852300484	0.847479381	0.784758361	0.645482744	0.478663698	0.81701092	2.63252164	IS1
IS1_A12	0.376913062	0.631488124	0.701263447	0.878118985	0.71623832	0.714382206	0.687018509	0.700206394	0.454624358	0.523256389	0.650590989	0.687866334	0.613892622	0.479045784	0.614768188	0.681915897	0.801079317	0.430042376	0.782578972	0.574926621	0.508437651	0.765179951	0.848944865	0.748407042	0.586257432	0.360614727	0.791764301	9.139307696	IS1
IS1_A13	0.359090333	0.684146828	0.69610147	0.922881585	0.766330986	0.736402188	0.707090981	0.727586617	0.448726089	0.562161613	0.694341959	0.725829686	0.674596824	0.5062596	0.656619837	0.70833183	0.799770808	0.403098463	0.81097037	0.654193765	0.598850749	0.834838486	0.841187647	0.787979565	0.615275713	0.354050546	0.793479877	2.843593904	IS1
IS1_A14	0.324723984	0.621538689	0.606958171	0.884584949	0.772402145	0.703995551	0.683233089	0.729145549	0.435824557	0.585109501	0.688693959	0.700105146	0.632926834	0.444034721	0.652946977	0.710112361	0.785570944	0.389403629	0.786222335	0.59058	0.502624905	0.749638151	0.813181843	0.747507932	0.560971453	0.384989134	0.791877745	9.444199808	IS1
IS1_A15	0.461809164	0.795239913	0.797962035	0.972546183	0.896216631	0.848698185	0.803419634	0.842712898	0.548923688	0.650281102	0.891748958	0.798251379	0.769183098	0.52538542	0.74954177	0.779485001	0.827684585	0.51348681	0.825352392	0.804521508	0.789795316	0.939478734	0.867686251	0.817589072	0.690458435	0.55260504	0.870163849	1.320860761	IS1
IS1_A16	0.415857609	0.733987747	0.786325551	0.903084467	0.785190529	0.753265112	0.718089632	0.740623362	0.50335287	0.535838956	0.679556659	0.740132535	0.668508719	0.428804557	0.68953105	0.689878391	0.808372357	0.442179037	0.781762618	0.634167007	0.583651388	0.831948936	0.848605245	0.754029523	0.576829943	0.341360365	0.785904222	2.852689113	IS1
IS1_A17	0.305778286	0.717665711	0.700709617	0.943534387	0.799567522	0.726087613	0.732758402	0.768144419	0.488412695	0.576139439	0.801150522	0.778791908	0.700421639	0.495850003	0.688347691	0.745020925	0.802679778	0.407282869	0.812936923	0.658377601	0.556715167	0.86468763	0.860679173	0.787662735	0.603978677	0.458570395	0.819836552	2.36538068	IS1
IS1_A18	0.435529847	0.774137493	0.745642538	0.910567335	0.808627388	0.787285433	0.710297968	0.827709245	0.467708008	0.591369499	0.823900293	0.753458036	0.678429978	0.507256471	0.68458956	0.783913859	0.795264151	0.459417038	0.814343066	0.689945003	0.606166569	0.882620799	0.83846463	0.792983667	0.627817329	0.505827033	0.822032575	2.247857501	IS1
IS1_A19	0.335227308	0.6913095	0.647712147	0.893440725	0.763333892	0.74808778	0.6578805	0.759829858	0.448656976	0.580438646	0.748751682	0.727961315	0.647885765	0.479877751	0.703647102	0.681316357	0.80413459	0.427126661	0.796448405	0.648061025	0.56765424	0.784459507	0.850872896	0.771173946	0.568036947	0.375537758	0.786601775	9.087794311	IS1
