x	Model	ID
14	black	ADAR
108	black	BST2
111	black	BTN3A1
112	black	BTN3A2
113	black	BTN3A3
314	black	CXCL10
315	black	CXCL11
348	black	DDX58
349	black	DDX60L
355	black	DEFB1
366	black	DHX58
394	black	EIF2AK2
483	black	GBP1
518	black	GPHB5
541	black	HERC5
571	black	IDO1
573	black	IFI27
574	black	IFI6
575	black	IFIH1
576	black	IFIT1
577	black	IFIT2
578	black	IFIT3
580	black	IFITM1
618	black	IL13
697	black	IRF1
704	black	IRF7
706	black	IRF9
707	black	ISG15
737	black	KLK1
828	black	MIR132
833	black	MIR16-1
858	black	MOV10
868	black	MX1
869	black	MX2
890	black	NFKBIA
899	black	NLRC5
919	black	NOS2
949	black	OAS1
950	black	OAS2
951	black	OAS3
967	black	PADI4
1015	black	PLSCR1
1020	black	PML
1084	black	RAB8A
1096	black	RBCK1
1135	black	RSAD2
1251	black	STAT1
1252	black	STAT2
1355	black	TRIM14
1357	black	TRIM21
1358	black	TRIM22
1361	black	TRIM25
1373	black	TRIM5
1455	black	ZBP1
1459	black	ZC3HAV1
4	blue	ABCG1
15	blue	ADCY8
17	blue	ADM
23	blue	AHR
33	blue	AMBN
34	blue	AMELX
37	blue	ANGPT1
39	blue	ANGPTL7
43	blue	ANXA1
44	blue	ANXA2
48	blue	APLN
49	blue	APOA1
51	blue	APOBEC3B
69	blue	ATG16L1
70	blue	ATG5
77	blue	AZU1
85	blue	BCL3
91	blue	BIRC2
94	blue	BMP1
96	blue	BMP15
97	blue	BMP2
98	blue	BMP3
99	blue	BMP4
100	blue	BMP5
101	blue	BMP6
103	blue	BMP8A
107	blue	BNIP3L
132	blue	C8B
144	blue	CARD18
152	blue	CASP6
153	blue	CASP7
199	blue	CD22
210	blue	CD46
215	blue	CD63
222	blue	CDK9
223	blue	CDKN1A
224	blue	CDKN2A
225	blue	CDNF
226	blue	CEACAM1
230	blue	CEBPD
238	blue	CFTR
244	blue	CGB7
245	blue	CGB8
253	blue	CLEC11A
265	blue	CMTM3
268	blue	CMTM6
273	blue	CNP
276	blue	COCH
279	blue	COPS8
288	blue	CRYAB
295	blue	CSH2
304	blue	CTNNB1
312	blue	CX3CL1
320	blue	CXCL17
339	blue	DAP
343	blue	DDIT3
354	blue	DEFA6
359	blue	DEFB4A
370	blue	DLK1
371	blue	DMBT1
384	blue	EDIL3
387	blue	EDN3
390	blue	EGFR
391	blue	EGLN2
395	blue	EIF4E
398	blue	ELANE
415	blue	F11
416	blue	F2R
420	blue	FADD
422	blue	FAM3C
430	blue	FCN2
431	blue	FCN3
436	blue	FGF10
437	blue	FGF11
442	blue	FGF17
443	blue	FGF18
444	blue	FGF19
447	blue	FGF21
450	blue	FGF3
451	blue	FGF4
452	blue	FGF5
455	blue	FGF7P3
457	blue	FGF8
459	blue	FIGNL2
462	blue	FLT4
463	blue	FOXA2
467	blue	FREM1
470	blue	FSTL1
472	blue	FZD1
475	blue	GABARAP
476	blue	GAL
477	blue	GALP
488	blue	GDF10
490	blue	GDF15
494	blue	GDF6
