cytoband	2q37.3	19q13.42	11p15.5	4q34.3	10q26.3	9p21.3	9p24.3	3q29	5q34	3p21.1	12p13.1	13q34	3p21.31	14q23.2	1q44	17q25.3	19q13.31	18q23	5p15.33	6q22.33	2p25.3	9p23	3q13.31	11q25	12q12	1p36.32	13q13.1	6q27	13q14.3	22q13.31	3p12.3	13q31.1	14q31.3	4q13.3	7p22.2	11p11.2	6q25.3	12q24.11	6p25.3	
q value	6.7438e-21	5.8661e-19	2.6528e-14	3.7126e-10	4.2079e-10	5.0108e-09	5.0257e-07	0.00030785	0.0011272	0.00017796	0.013445	0.014972	0.00029486	0.012642	0.024473	0.023409	1.644e-07	0.04356	0.047924	0.021509	0.057142	0.020273	0.067838	0.071704	0.075292	0.079442	0.045293	0.0048139	0.009822	0.12752	0.11077	0.023992	0.086547	0.17421	0.18662	0.18721	0.0086653	0.19806	0.20519	
residual q value	6.7438e-21	5.8992e-17	2.5893e-14	3.7126e-10	4.2079e-10	5.0108e-09	1.8705e-06	0.00029486	0.001133	0.010066	0.013702	0.01518	0.019066	0.022099	0.024473	0.024473	0.036103	0.044516	0.047924	0.055167	0.057142	0.060672	0.067838	0.069532	0.076141	0.079442	0.079442	0.081152	0.09894	0.12819	0.15127	0.15127	0.15127	0.17782	0.18929	0.18929	0.19373	0.19373	0.20593	
wide peak boundaries	chr2:240962659-242193529	chr19:54947449-57514282	chr11:1-1878794	chr4:177990720-183494870	chr10:111079611-133797422	chr9:21865499-22448738	chr9:1-844486	chr3:196639049-197685958	chr5:148652592-181538259	chr3:51386761-54123975	chr12:12558056-14366660	chr13:113928871-114364328	chr3:46500130-48921735	chr14:58290723-78174030	chr1:234209771-248956422	chr17:82727658-83257441	chr19:41925790-46675075	chr18:79002679-80373285	chr5:1-17132101	chr6:127332554-130371398	chr2:1-2324133	chr9:7799607-12693402	chr3:94990967-129651588	chr11:134151321-135086622	chr12:32893588-56597365	chr1:4424273-5565505	chr13:31798979-32024599	chr6:169744655-170805979	chr13:41981026-83883100	chr22:41796706-50818468	chr3:59049037-94059032	chr13:49242813-111116853	chr14:68682383-107043718	chr4:62160106-75915671	chr7:1-4269144	chr11:46318245-46604706	chr6:131281296-170805979	chr12:79933434-120982516	chr6:1-4997014	
genes in wide peak	BOK	hsa-mir-1274b	AP2A2	DCTD	ACADSB	CDKN2A	FOXD4	BDH1	ADRA1B	ACY1	CDKN1B	CDC16	SLC25A20	ACTN1	ACTN2	TBCD	APOC1	NFATC1	ADCY2	LAMA2	ACP1	PTPRD	hsa-mir-1280	NCAPD3	ASIC1	AJAP1	EEF1DP3	PDCD2	ATP7B	ACR	EPHA3	ATP7B	hsa-mir-1185-2	AFM	GNA12	CHRM4	ACAT2	ACACB	BPHL	
	DTYMK	IL11	CD151	CLDN22	ADAM8	CDKN2B	KANK1	DLG1	ADRB2	ALAS1	CREBL2	RASA3	CAMP	ACYP1	ADSS	FN3K	APOC1P1	CTDP1	CTNND2	PTPRK	TPO	PTPRD-AS1	ADCY5	ACAD8	ACVR1B	MIR4417		PSMB1	KLF5	ARSA	FHIT	KLF5	SERPINA3	AFP	GPER1	MDK	ARG1	ACADS	SERPINB1	
	HDLBP	PEG3	CTSD	CDKN2AIP	ADRB1	CDKN2A-AS1	CBWD1	MELTF	ANXA6	CACNA1D	EMP1	UPF3A	CDC25A	ARG2	CHML	ZNF750	APOC2	TXNL4A	DAP	KIAA0408	PXDN	PTPRD-AS2	ADPRH	B3GAT1	ACVRL1			TBP	BTF3P11	BIK	GBE1	BTF3P11	ACTN1	ALB	LFNG	DGKZ	CCR6	ALDH2	FOXF2	
	SEPT2	PTPRH	DRD4	TENM3	BNIP3	CDKN2B-AS1	DOCK8	PAK2	ATOX1	DUSP7	GPR19	CHAMP1	COL7A1	ZFP36L1	LYST	B3GNTL1	APOC4	ADNP2	DNAH5	L3MBTL3	SH3YL1	LOC105375972	ALCAM	THYN1	ADCY6			TCTE3	RCBTB2	TSPO	GPR27	CLN5	ACYP1	AMBN	NUDT1	AMBRA1	CTGF	APAF1	FOXC1	
	PDCD1	RPL28	DUSP8	WWC2	CASP7		C9orf66	NCBP2	BNIP1	GRM2	GRIN2B	MIR4502	CELSR3	ENTPD5	CHRM3	METRNL	APOE	KCNG2	MTRR	ARHGAP18	SNTG2		ATP6V1A	GLB1L2	ABCD2			DLL1	CLN5	MPPED1	HTR1F	COL4A1	AKT1	AREG	PDGFA	MIR3160-2	EYA4	ARL1	GMDS	
	PPP1R7	AURKC	HRAS	LOC90768	CTBP2		FAM138A	PIGX	CAMK2A	ITIH1	GPRC5A	MIR548AR	MAP4	DLST	FH	RPL23AP87	ATP1A3	RBFA	MYO10	SAMD3	TMEM18		CASR	VPS26B	AMHR2			ERMARD	CPB2	CHKB	MITF	COL4A2	BDKRB1	BTC	PRKAR1B	MIR3160-1	ESR1	ASCL1	IRF4	
	FARP2	SYT5	IRF7	WWC2-AS2	CYP2E1		FAM138C	PIGZ	CANX	ITIH3	HEBP1	LINC01054	MYL3	EIF2S1	GNG4		BCL3	PQLC1	NDUFS6	TMEM244	FAM150B		CBLB	GLB1L3	APOF			LINC00574	DACH1	CPT1B	CNTN3	DACH1	BDKRB2	CENPC	MAFK	MIR4688	FUCA2	ATP2A2	NQO2	
	STK25	TNNI3	MUC2	FAM92A1P2	DMBT1		WASH1	CEP19	CCNG1	ITIH4	DDX47		PFKFB4	ERH	HNRNPU		CEACAM1	PARD6G	SDHA	C6orf58	LINC01115		CD80	LOC283177	AQP2			FAM120B	EDNRB	CYP2D7	POU1F1	DCT	ZFP36L1	CSN1S1	MAD1L1		GPR31	ATP2B1	SERPINB6	
	PASK	TNNT1	MUC5AC	LINC00290	DOCK1		DDX11L5	NCBP2-AS2	CD74	PRKCD	GPRC5D		PLXNB1	ESR2	LGALS8		CALM3	LOC284241	SLC6A3	SOGA3	FAM110C		CD86	LOC100507548	AQP5			LOC154449	ESD	CYP2D6	PROS1	GPR183	CALM1	CSN2	EIF3B		GRM1	BTG1	SERPINB9	
	ATG4B	ZNF17	MUC6	CLDN24	ECHS1		MIR1302-2	SENP5	CDX1	RPL29	FAM234B		PRKAR2A	ESRRB	MTR		CEACAM8	ATP9B	SLC9A3	THEMIS	LOC101060385		CD47		AQP6			LOC285804	MLNR	CYB5R3	PTPRG	EDNRB	SERPINA6	CSN3	ADAP1		HIVEP2	CMKLR1	TUBB2A	
	SNED1	ZNF264	POLR2L	MIR1305	EMX2		MIR1302-9	LOC220729	CLTB	NEK4	APOLD1		PTH1R	FNTB	NID1		CKM	HSBP1L1	SRD5A1	LOC101928140	LOC101060391		COL8A1		ARF3			LINC00242	GTF2F2	TYMP	ROBO1	EFNB2	ENTPD5	DCK	IQCE		IFNGR1	COX6A1	RIPK1	
	ANO7	TRAPPC2B	PSMD13	WWC2-AS1	FGFR2		MIR1302-10	NRROS	CSF1R	TKT	GSG1		SMARCC1	FOS	RGS7		CLPTM1	PARD6G-AS1	TERT		LOC105373352		CPOX		ATF1			LINC01624	GUCY1B2	FBLN1	ROBO2	ERCC5	FOXN3	EPHA5	SUN1		IGF2R	CRY1	PRPF4B	
	THAP4	ZNF460	RNH1		GFRA1		MIR1302-11	MIR922	CSNK1A1	TNNC1	HTR7P1		TDGF1	FUT8	RYR2		DMPK	RBFADN	TRIO				CSTA		ATP5G2			LOC100131532	HTR2A	NAGA	ATXN7	FGF14	CHGA	EREG	INTS1		KIF25	DAO	CDYL	
	GAL3ST2	U2AF2	RPLP2		PRLHR		PGM5P3-AS1	MFI2-AS1	NKX2-5	BAP1	LINC01559		UQCRC1	GPX2	TARBP1		DMWD		SEMA5A				DRD3		CACNB3			MIR4644	KPNA3	NDUFA6	TMF1	GPC5	CKB	GC	SNX8		LPA	DCN	ECI2	
