cytoband	10q26.3	9p21.3	1p36.23	11p15.5	3q29	6q26	8q24.3	10q23.31	17q11.2	4q35.2	13q14.3	13q14.2	4q34.3	6p25.3	13q34	19q13.32	19q13.43	2q37.1	2q37.3	1q42.12	9p24.2	10p11.23	14q31.1	21q21.1	1p32.3	1q44	5q15	2q36.3	7p22.3	
q value	5.3445e-06	1.6268e-05	0.00015314	0.0019055	0.0059556	0.006109	0.006109	0.006109	0.006109	0.0086663	0.0072293	0.011251	0.017706	0.063098	0.065228	0.014547	0.0071779	0.0031666	0.006109	0.12506	0.12648	0.1499	0.14996	0.1494	0.20455	0.16533	0.22404	0.039307	0.22565	
residual q value	5.3445e-06	1.6268e-05	0.00015314	0.0019055	0.0059556	0.006109	0.006109	0.006109	0.006109	0.017485	0.039307	0.060338	0.061252	0.061252	0.061252	0.061252	0.066781	0.080421	0.080421	0.12506	0.12506	0.1494	0.1494	0.1494	0.20455	0.20455	0.20455	0.23308	0.23308	
wide peak boundaries	chr10:133366292-133381385	chr9:21865499-22448738	chr1:7769227-9237612	chr11:1307683-1472378	chr3:195428693-196631607	chr6:144090971-170805979	chr8:6967891-145138636	chr10:87746731-88274281	chr17:30999718-31853938	chr4:186719102-187536724	chr13:51065665-51342030	chr13:48301193-48490671	chr4:177990720-182139540	chr6:1608602-2250648	chr13:110511187-110617924	chr19:43846567-58335779	chr19:9361061-58617616	chr2:231711722-242193529	chr2:230225064-242193529	chr1:204503152-240615466	chr9:1-9822052	chr10:18043064-31189649	chr14:53151211-107043718	chr21:1-20744784	chr1:46169478-64746364	chr1:227939527-248956422	chr5:45378355-139685564	chr2:1-242193529	chr7:1-159345973	
genes in wide peak	MIR3944	CDKN2A	RERE	BRSK2	APOD	ACAT2	NAT1	PTEN	EVI2A	LOC339975	FAM124A	RB1	LINC00290	FOXC1	RAB20	hsa-mir-1274b	hsa-mir-1274b	hsa-mir-1244-1	hsa-mir-1244-1	hsa-mir-664	DMRT1	BMI1	hsa-mir-1185-2	BAGE	C8A	ACTA1	hsa-mir-886	hsa-mir-1244-1	hsa-mir-1975	
		CDKN2B	CA6	TOLLIP-AS1	MUC4	CCR6	NAT2	ATAD1	EVI2B		LINC00371	LPAR6		GMDS		hsa-mir-643	hsa-mir-643	AGXT	AGXT	ACTA1	FOXD4	CACNB2	SERPINA3	CBS	C8B	ACTN2	hsa-mir-1244-2	hsa-mir-3130-3	hsa-mir-96	
		CDKN2A-AS1	ENO1		PCYT1A	ESR1	ADCY8	CFL1P1	NF1							hsa-mir-220c	hsa-mir-220c	ALPI	ALPI	ACTN2	MLANA	MAP3K8	ACTN1	CRYAA	CDKN2C	ADSS	APC	hsa-mir-1245	AOC1	
		CDKN2B-AS1	TNFRSF9		PPP1R2	GPR31	ADRA1A	KLLN	OMG							AP2A1	hsa-mir-1270-1	ALPP	ALPP	PARP1	GLDC	GAD2	ACYP1	CXADR	CPT2	AGT	TRIM23	AAMP	ACHE	
			SLC2A5		TFRC	GRM1	ADRB3		RAB11FIP4							APOC1	A1BG	ALPPL2	ALPPL2	AGT	INSL4	PIP4K2A	AKT1	TMPRSS15	CYP2J2	ARF1	ARSB	ACADL	ACTB	
			PER3		TNK2	IGF2R	ANGPT1		MIR193A							APOC1P1	ACP5	KIF1A	KIF1A	ARF1	JAK2	SVIL	ARG2	PWP2	CYP4A11	CHML	ALDH7A1	ACP1	ADCY1	
			VAMP3		UBXN7	KIF25	ANK1		MIR365B							APOC2	ACTN4	BOK	BOK	ATF3	PTPRD	MLLT10	BDKRB1	HSPA13	CYP4B1	LYST	BHMT	ACTG2	ADCYAP1R1	
			UTS2		TM4SF19	LPA	ANXA13		MIR4724							APOC4	AP2A1	CHRND	CHRND	AVPR1B	RFX3	SPAG6	BDKRB2	TPTE	DAB1	CHRM3	BTF3	ACVR1	AEBP1	
			PARK7		ZDHHC19	MAS1	ASAH1		MIR4733							APOE	AKT2	CHRNG	CHRNG	C4BPA	RLN1	ABI1	BMP4	U2AF1	DHCR24	FH	CAMK4	ACVR2A	AHR	
			SLC45A1		RNF168	MAP3K4	ASPH		MIR4725							KLK3	APLP1	COL6A3	COL6A3	C4BPB	RLN2	NEBL	ZFP36L1	NRIP1	DIO1	GALNT2	CAMLG	ACYP2	AKR1B1	
			ERRFI1		SLC51A	AFDN	ATP6V1B2									BAX	APOC1	DTYMK	DTYMK	CAPN2	SLC1A1	YME1L1	CALM1	C21orf33	ELAVL4	GNG4	CAST	ADCY3	AMPH	
			GPR157		FBXO45	OPRM1	ATP6V1C1									BCAT2	APOC1P1	GBX2	GBX2	CD34	SMARCA2	ANKRD26	SERPINA6	BTG3	EPS15	GUK1	CCNB1	ADD2	AOAH	
			SLC2A7		MUC20	PARK2	ADGRB1									BCL3	APOC2	GPC1	GPC1	CENPF	VLDLR	MSRB2	ENTPD5	ICOSLG	FAAH	HNRNPU	CCNH	ADRA2B	AQP1	
			MIR34A		TCTEX1D2	PCMT1	BLK									C5AR1	APOC4	GPR35	GPR35	LYST	PUM3	RAB18	CDKN3	USP25	FOXE3	KCNK1	CDC25C	AGXT	ARF5	
			ENO1-AS1		SMCO1	PDCD2	BMP1									CA11	APOE	HDLBP	HDLBP	CHRM3	RCL1	COMMD3	FOXN3	RBM11	FOXD2	LGALS8	CDK7	ALK	ASL	
			MIR6728		SDHAP1	PLG	POLR3D									CALM3	KLK3	INPP5D	HTR2B	CR1	DMRT2	PDSS1	CHGA	CYP4F29P	GPX7	MTR	CDO1	ALPI	ASNS	
			LOC102724539		WDR53	PSMB1	BNIP3L									CD33	ASNA1	KCNJ13	INPP5D	CR1L	INSL6	BAMBI	CKB	SMIM11A	JUN	NID1	CETN3	ALPP	AZGP1	
			LOC102724552		LINC00885	RPS6KA2	OSGIN2									SIGLEC6	ATP1A3	NDUFA10	KCNJ13	CR2	KDM4C	WAC	CRIP1	CHODL-AS1	TACSTD2	RAB4A	CHD1	ALPPL2	OPN1SW	
			LOC102724571		LINC00969	SLC22A1	CA1									CD37	ATP4A	SEPT2	NCL	CTSE	KANK1	MYO3A	CRIP2	C21orf91	MAGOH	RGS7	CKMT2	BIN1	BLVRA	
			MIR34AHG		MIR570	SLC22A3	CA2									CGB3	AXL	NEU2	NDUFA10	CD55	RANBP6	APBB1IP	DIO2	SAMSN1	NFIA	RYR2	ERCC8	ANXA4	BPGM	
			SNORD128		SDHAP2	SLC22A2	CA3									CKM	BAX	NPPC	SEPT2	EIF2D	CD274	ARMC4	DIO3	BAGE4	NRDC	TARBP1	AP3S1	AOX1	BRAF	
					TM4SF19-TCTEX1D2	SOD2	CA8									AP2S1	BCAT2	PDCD1	NEU2	ELK4	AK3	MTPAP	DLST	BAGE3	ROR1	TBCE	COX7C	APOB	CACNA2D1	
					UBXN7-AS1	T	CALB1									CLPTM1	BCKDHA	PDE6D	NPPC	EPHX1	SPATA6L	KIAA1217	DYNC1H1	BAGE2	ORC1	GPR137B	CRHBP	RHOB	CALCR	
					TM4SF19-AS1	TBP	RUNX1T1									CRX	BCL3	PPP1R7	PDCD1	EPRS	CDC37L1	PRTFDC1	EIF2S1	LINC00313	PGM1	TSNAX	HAPLN1	RND3	CALD1	
					LOC101929697	TCP1	CDH17									DBP	CEACAM1	SAG	PDE6D	ESRRG	PLGRKT	GPR158	EIF5	CHODL	PRKAA2	ZNF124	CSF2	ATIC	CALU	
					MIR6829	TCP10	CEBPD									DMPK	BLVRB	SPP2	PPP1R7	GALNT2	CBWD1	ARHGAP21	ELK2AP	ANKRD30BP2	RAB3B	HIST3H3	CSNK1G3	ATP5G3	CAMK2B	
					LOC105374297	TCTE3	CHRNA2									DMWD	BST2	DGKD	PSMD1	GNG4	RIC1	KIAA1462	EML1	LIPI	SCP2	GNPAT	VCAN	ATP6V1B1	CAPZA2	
						DYNLT1	CHRNB3									EMP3	C5AR1	PER2	PTMA	GUK1	DMRT3	DNAJC1	ERH	ABCC13	STIL	KMO	CTNNA1	KIF1A	CASP2	
						THBS2	CLU									ERCC1	CA11	LRRFIP1	SNORD20	H3F3A	ERMP1	THNSL1	ESR2	SIK1	SLC1A7	EXO1	DMXL1	AUP1	CAV1	
						UTRN	COX6C									ERCC2	CACNA1A	ECEL1	SAG	HLX	PDCD1LG2	LYZL1	ESRRB	C21orf91-OT1	TAL1	GGPS1	DHFR	BARD1	CAV2	
						EZR	CRH									ETFB	CALM3	EIF4E2	SP100	HSD11B1	DOCK8	PLXDC2	FNTB	LINC00319	TTC4	TOMM20	EFNA5	BCS1L	KRIT1	
						VIP	CTSB									FCAR	CALR	HDAC4	SPP2	IL10	GLIS3-AS1	MASTL	FOS	POTED	UQCRH	URB2	EGR1	BCYRN1	CCT6A	
						EPM2A	CYC1									FCGRT	CAPNS1	FARP2	DGKD	IRF6	TPD52L3	ACBD5	FUT8	LOC388813	USP1	CEP170	ETF1	BMPR2	CD36	
						RNASET2	CYP7A1									FKBP1AP1	CCNE1	ARL4C	PER2	ITPKB	IL33	LYZL2	GALC	MIR99AHG	LRP8	AKT3	F2R	BOK	SEPT7	
