Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-E1-5305-01	TCGA-FG-A87N-01	TCGA-P5-A731-01	TCGA-HT-7693-01	TCGA-DH-A669-01	TCGA-DU-7013-01	TCGA-DU-6407-01	TCGA-DU-8166-01	TCGA-DU-6402-01	TCGA-CS-4941-01	TCGA-HT-8104-01	TCGA-HT-A61C-01	TCGA-TQ-A8XE-01	TCGA-DU-6404-01	TCGA-DB-A64S-01	TCGA-DU-A7TJ-01	TCGA-S9-A7IS-01	TCGA-S9-A7R2-01	TCGA-FN-7833-01	TCGA-HT-7860-01	TCGA-P5-A72U-01	TCGA-HT-7882-01	TCGA-P5-A5EX-01	TCGA-E1-5303-01	TCGA-DU-A5TP-01	TCGA-FG-6692-01	TCGA-DU-A7TD-01	TCGA-CS-6186-01	TCGA-E1-A7YJ-01	TCGA-CS-6188-01	TCGA-HT-A4DS-01	TCGA-VW-A8FI-01	TCGA-P5-A5F1-01	TCGA-E1-A7YK-01	TCGA-VM-A8CF-01	TCGA-FG-A4MW-01	TCGA-DU-A5TY-01	TCGA-HW-A5KK-01	TCGA-TM-A84B-01	TCGA-CS-5397-01	TCGA-QH-A6CV-01	TCGA-DU-6403-01	TCGA-QH-A6XC-01	TCGA-DU-6392-01	TCGA-S9-A7IX-01	TCGA-DB-A75P-01	TCGA-DU-7298-01	TCGA-TM-A84J-01	TCGA-P5-A736-01	TCGA-FG-7634-01	TCGA-E1-A7YL-01	TCGA-HT-A617-01	TCGA-KT-A7W1-01	TCGA-DU-7292-01	TCGA-DU-A76L-01	TCGA-TM-A7C3-01	TCGA-HT-7691-01	TCGA-DU-6405-01	TCGA-HT-8013-01	TCGA-P5-A5EU-01	TCGA-DU-7007-01	TCGA-HT-A61B-01	TCGA-S9-A6UA-01	TCGA-DU-5852-01	TCGA-HT-A5RA-01	TCGA-TM-A84C-01	TCGA-HT-7469-01	TCGA-DU-5854-01	TCGA-DU-7290-01	TCGA-E1-A7YN-01	TCGA-FG-A70Z-01	TCGA-HT-8011-01	TCGA-S9-A7R7-01	TCGA-S9-A89Z-01	TCGA-DU-7012-01	TCGA-FG-5965-01	TCGA-DU-7006-01	TCGA-DU-6406-01	TCGA-S9-A6U0-01	TCGA-E1-A7YI-01	TCGA-DU-A5TT-01	TCGA-FG-A710-01	TCGA-DU-5847-01	TCGA-HT-8110-01	TCGA-VM-A8CD-01	TCGA-DU-8158-01	TCGA-HT-A74H-01	TCGA-P5-A5EY-01	TCGA-HT-7857-01	TCGA-FG-5963-01	TCGA-HT-8018-01	TCGA-CS-6290-01	TCGA-HT-8563-01	TCGA-FG-6688-01	TCGA-DU-5872-01	TCGA-S9-A6TV-01	TCGA-VM-A8C9-01	TCGA-S9-A6WM-01	TCGA-HT-8564-01	TCGA-QH-A6CX-01	TCGA-HT-7477-01	TCGA-HT-A5RC-01	TCGA-FG-5964-01	TCGA-FG-A4MU-01	TCGA-S9-A6WN-01	TCGA-E1-A7YQ-01	TCGA-CS-4942-01	TCGA-DH-5140-01	TCGA-FG-A87Q-01	TCGA-FG-A6J3-01	TCGA-06-0152-01	TCGA-06-0749-01	TCGA-06-0138-01	TCGA-06-2564-01	TCGA-06-0210-01	TCGA-02-0047-01	TCGA-19-2625-01	TCGA-27-2528-01	TCGA-27-1837-01	TCGA-12-1597-01	TCGA-12-3653-01	TCGA-32-2615-01	TCGA-06-0171-01	TCGA-14-0781-01	TCGA-14-1823-01	TCGA-12-5295-01	TCGA-06-0129-01	TCGA-16-0846-01	TCGA-14-1402-01	TCGA-26-5133-01	TCGA-27-2524-01	TCGA-06-0878-01	TCGA-06-5411-01	TCGA-06-5413-01	TCGA-15-0742-01	TCGA-06-0211-01	TCGA-28-2513-01	TCGA-28-2509-01	TCGA-06-0178-01	TCGA-02-2483-01	TCGA-76-4925-01	TCGA-76-4926-01	TCGA-06-0190-01	TCGA-02-2486-01	TCGA-26-5136-01	TCGA-19-1390-01	TCGA-06-0649-01	TCGA-32-4213-01	TCGA-06-5856-01	TCGA-19-0957-01	TCGA-28-1747-01	TCGA-06-0747-01	TCGA-28-5204-01	TCGA-06-0238-01	TCGA-06-0645-01	TCGA-12-0616-01	TCGA-16-1045-01	TCGA-06-2569-01	TCGA-15-1444-01	TCGA-28-2510-01	TCGA-14-0789-01	TCGA-19-2624-01	TCGA-26-5134-01	TCGA-06-0750-01	TCGA-06-5410-01	TCGA-06-2565-01	TCGA-06-2562-01	TCGA-06-0141-01	TCGA-06-0132-01	TCGA-41-5651-01	TCGA-14-0790-01	TCGA-28-5209-01	TCGA-27-1832-01	TCGA-32-1970-01	TCGA-14-0871-01	TCGA-27-2523-01	TCGA-06-0125-01	TCGA-28-5220-01	TCGA-12-0821-01	TCGA-12-5299-01	TCGA-12-3650-01	TCGA-06-5418-01	TCGA-19-2620-01	TCGA-06-0187-01	TCGA-76-4931-01	TCGA-06-2563-01	TCGA-06-0139-01	TCGA-27-2526-01	TCGA-32-2632-01	TCGA-27-1830-01	TCGA-27-1835-01	TCGA-06-5414-01	TCGA-02-0055-01	TCGA-12-0618-01	TCGA-14-1829-01	TCGA-06-0745-01	TCGA-32-1982-01	TCGA-28-5218-01	TCGA-28-2514-01	TCGA-14-0817-01	TCGA-06-0686-01	TCGA-27-1831-01	TCGA-19-1787-01	TCGA-06-2558-01	TCGA-06-0168-01	TCGA-19-5960-01	TCGA-06-2561-01	TCGA-19-4065-01	TCGA-28-1753-01	TCGA-32-1980-01	TCGA-06-0157-01	TCGA-12-0619-01	TCGA-14-1034-01	TCGA-06-0130-01	TCGA-06-0646-01	TCGA-06-2559-01	TCGA-19-1389-01	TCGA-76-4928-01	TCGA-26-5139-01	TCGA-06-2567-01	TCGA-76-4932-01	TCGA-14-2554-01	TCGA-27-2519-01	TCGA-06-5408-01	TCGA-32-5222-01	TCGA-19-2619-01	TCGA-06-0184-01	TCGA-06-0158-01	TCGA-06-0644-01	TCGA-02-2485-01	TCGA-14-1825-01	TCGA-14-0736-01	TCGA-06-5858-01	TCGA-28-5215-01	TCGA-06-2570-01	TCGA-41-2572-01	TCGA-32-2616-01	TCGA-32-2638-01	TCGA-41-3915-01	TCGA-06-0174-01	TCGA-32-2634-01	TCGA-28-5207-01	TCGA-41-2571-01	TCGA-28-5208-01	TCGA-41-4097-01	TCGA-06-0219-01	TCGA-28-5216-01	TCGA-06-5416-01	TCGA-14-0787-01	TCGA-06-5412-01	TCGA-28-5213-01	TCGA-76-4929-01	TCGA-08-0386-01	TCGA-12-3652-01	TCGA-06-0743-01	TCGA-26-5132-01	TCGA-26-5135-01	TCGA-27-1834-01	TCGA-06-2557-01	TCGA-06-0744-01	TCGA-06-0882-01	
Amplification Peak  1	1p36.12 	chr1:22356733-23330156(probes 10791:11381)          	chr1:22591773-23022238(probes 10922:11224)          	chr1:22356913-23333861(probes 10792:11383)          	0.11418	     0.11418		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	
Amplification Peak  2	1q22    	chr1:156093813-156730975(probes 71694:72006)      	chr1:156348600-156415595(probes 71818:71843)      	chr1:156094090-156788630(probes 71695:72024)      	0.020449	    0.020449		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	
Amplification Peak  3	1q32.1  	chr1:204467054-204497731(probes 102663:102679)    	chr1:204467393-204489037(probes 102664:102678)    	chr1:202726292-205338660(probes 101523:103340)    	7.9951e-39	  7.9951e-39		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	2	0	0	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	2	1	0	2	1	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	2	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	2	1	0	0	
Amplification Peak  4	1q44    	chr1:241903683-245642345(probes 128092:130215)    	chr1:244402218-244462757(probes 129603:129630)    	chr1:243192160-244691770(probes 128760:129642)    	0.05599	     0.05599		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	
Amplification Peak  5	2p24.3  	chr2:15745966-16177446(probes 140852:141116)        	chr2:15874980-16024562(probes 140982:141060)        	chr2:15624961-16178292(probes 140751:141118)        	0.0087636	   0.0087636		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
Amplification Peak  6	3q26.33 	chr3:181296809-181890169(probes 363755:364044)    	chr3:181415684-181573630(probes 363805:363885)    	chr3:176112618-184795207(probes 360916:365163)    	9.2079e-08	  9.2079e-08		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	2	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	1	0	0	0	0	1	0	0	2	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	
Amplification Peak  7	4p16.3  	chr4:1777070-1815700(probes 372649:372660)            	chr4:1777075-1814962(probes 372650:372659)            	chr4:1737006-1825245(probes 372643:372667)            	0.0021737	   0.0021737		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
Amplification Peak  8	4q12    	chr4:48067891-51935204(probes 401058:401118)        	chr4:51832471-51834604(probes 401059:401061)        	chr4:48067891-57984764(probes 401058:405065)        	1.0394e-11	   0.0026932		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	
Amplification Peak  9	4q12    	chr4:52957584-52976546(probes 401668:401676)        	chr4:52959053-52975732(probes 401669:401675)        	chr4:48067891-57984764(probes 401058:405065)        	2.4374e-19	    0.013365		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
Amplification Peak 10	4q12    	chr4:54138220-54176172(probes 402434:402449)        	chr4:54142148-54172521(probes 402435:402448)        	chr4:48067891-57984764(probes 401058:405065)        	1.392e-47	  4.1643e-41		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	1	0	2	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	1	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	2	0	0	0	0	0	2	2	0	0	0	0	2	2	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	2	2	2	0	1	0	
Amplification Peak 11	4q12    	chr4:54716270-56107894(probes 403056:403869)        	chr4:55760560-55915051(probes 403692:403789)        	chr4:48067891-57984764(probes 401058:405065)        	9.3272e-11	     0.20967		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	
