Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-WY-A858-01	TCGA-DU-A7T8-01	TCGA-DH-A66G-01	TCGA-VM-A8CH-01	TCGA-E1-A7YH-01	TCGA-HT-7676-01	TCGA-DB-5274-01	TCGA-DH-A66D-01	TCGA-S9-A6TX-01	TCGA-HT-7884-01	TCGA-DH-5142-01	TCGA-DU-7019-01	TCGA-DU-7015-01	TCGA-CS-4943-01	TCGA-S9-A6WD-01	TCGA-DH-5144-01	TCGA-DU-A6S2-01	TCGA-P5-A5ET-01	TCGA-DU-6395-01	TCGA-DU-8163-01	TCGA-DB-5273-01	TCGA-QH-A6XA-01	TCGA-DU-6399-01	TCGA-DB-A75L-01	TCGA-HT-7879-01	TCGA-DU-5871-01	TCGA-HT-7606-01	TCGA-S9-A6WO-01	TCGA-FG-8186-01	TCGA-S9-A7R4-01	TCGA-DB-A4XF-01	TCGA-S9-A7R1-01	TCGA-DU-7304-01	TCGA-S9-A6WQ-01	TCGA-DU-5870-01	TCGA-E1-A7YV-01	TCGA-DB-5278-01	TCGA-FG-A60L-01	TCGA-WY-A85E-01	TCGA-VV-A86M-01	TCGA-TQ-A7RW-01	TCGA-R8-A6YH-01	TCGA-E1-5302-01	TCGA-TM-A84I-01	TCGA-R8-A6MO-01	TCGA-S9-A6U5-01	TCGA-HT-7481-01	TCGA-HT-A615-01	TCGA-TM-A7CA-01	TCGA-RY-A83X-01	TCGA-QH-A6X4-01	TCGA-DB-5275-01	TCGA-P5-A72W-01	TCGA-FG-8185-01	TCGA-QH-A6X8-01	TCGA-S9-A6U1-01	TCGA-WY-A85D-01	TCGA-DH-A66F-01	TCGA-HT-7858-01	TCGA-DB-A64Q-01	TCGA-DB-A64V-01	TCGA-TQ-A7RI-01	TCGA-QH-A65X-01	TCGA-S9-A7QY-01	TCGA-P5-A780-01	TCGA-HT-7482-01	TCGA-DU-A7TB-01	TCGA-TQ-A7RG-01	TCGA-HT-7873-01	TCGA-S9-A7R8-01	TCGA-HT-7472-01	TCGA-HT-A614-01	TCGA-QH-A86X-01	TCGA-S9-A6WP-01	TCGA-VV-A829-01	TCGA-HT-7483-01	TCGA-HW-7490-01	TCGA-TM-A84F-01	TCGA-DH-A7US-01	TCGA-S9-A7QX-01	TCGA-HT-A4DV-01	TCGA-VM-A8CE-01	TCGA-DB-A75O-01	TCGA-FG-A4MY-01	TCGA-FG-A60K-01	TCGA-DU-A7TA-01	TCGA-DB-A64U-01	TCGA-DU-7010-01	TCGA-WY-A85B-01	TCGA-HT-7616-01	TCGA-DU-7306-01	TCGA-TM-A84S-01	TCGA-DB-A75K-01	TCGA-S9-A7J2-01	TCGA-S9-A6U6-01	TCGA-QH-A6X9-01	TCGA-DU-A5TW-01	TCGA-HT-7686-01	TCGA-E1-A7YU-01	TCGA-S9-A7IZ-01	TCGA-E1-5319-01	TCGA-DU-6408-01	TCGA-HW-7486-01	TCGA-DH-A66B-01	TCGA-HT-7677-01	TCGA-HT-7620-01	TCGA-DU-7301-01	TCGA-QH-A65V-01	TCGA-DU-7294-01	TCGA-DU-7008-01	TCGA-DU-8167-01	TCGA-HT-A74L-01	TCGA-FG-A4MX-01	TCGA-TQ-A7RN-01	TCGA-S9-A6TS-01	TCGA-TM-A84L-01	TCGA-DB-A4XA-01	TCGA-HT-8114-01	TCGA-FG-7638-01	TCGA-WY-A85C-01	TCGA-DB-A4XD-01	TCGA-FG-A6IZ-01	TCGA-S9-A7J0-01	TCGA-HT-7471-01	TCGA-HT-7467-01	TCGA-S9-A6WE-01	TCGA-HW-A5KL-01	TCGA-HW-A5KM-01	TCGA-RY-A83Y-01	TCGA-FG-7636-01	TCGA-FG-A6J1-01	TCGA-DU-A6S7-01	TCGA-FG-6690-01	TCGA-S9-A6TW-01	TCGA-FG-7637-01	TCGA-DB-5281-01	TCGA-DB-A64P-01	TCGA-FG-8191-01	TCGA-DU-6401-01	TCGA-DU-6400-01	TCGA-FG-8188-01	TCGA-TQ-A7RK-01	TCGA-TQ-A7RF-01	TCGA-HT-A74O-01	TCGA-TM-A84M-01	TCGA-CS-6667-01	TCGA-HT-7902-01	TCGA-RY-A840-01	TCGA-E1-5304-01	TCGA-CS-6666-01	TCGA-HT-7602-01	TCGA-IK-7675-01	TCGA-HT-7601-01	TCGA-DU-A5TU-01	TCGA-DB-A75M-01	TCGA-HW-8321-01	TCGA-RY-A83Z-01	TCGA-S9-A6TU-01	TCGA-HW-8320-01	TCGA-DU-6542-01	TCGA-HT-7684-01	TCGA-E1-5322-01	TCGA-S9-A7QW-01	TCGA-TQ-A7RR-01	TCGA-DU-A5TR-01	TCGA-QH-A65S-01	TCGA-DU-7014-01	TCGA-QH-A65Z-01	TCGA-HT-7468-01	TCGA-DU-A76O-01	TCGA-DU-7011-01	TCGA-DU-6396-01	TCGA-P5-A730-01	TCGA-HT-7692-01	TCGA-HT-7855-01	TCGA-S9-A7IY-01	TCGA-DU-A5TS-01	TCGA-E1-A7YW-01	TCGA-HT-7609-01	TCGA-S9-A7J1-01	TCGA-CS-6670-01	TCGA-TM-A84Q-01	TCGA-HT-7604-01	TCGA-DH-A7UV-01	TCGA-S9-A6UB-01	TCGA-E1-A7YE-01	TCGA-DH-5141-01	TCGA-FG-6689-01	TCGA-DU-5855-01	TCGA-CS-4944-01	TCGA-HT-A74K-01	TCGA-QH-A6CU-01	TCGA-DB-5277-01	TCGA-KT-A74X-01	TCGA-HT-A618-01	TCGA-QH-A6CW-01	TCGA-S9-A7J3-01	TCGA-QH-A6X5-01	TCGA-HT-8111-01	TCGA-P5-A737-01	TCGA-QH-A65R-01	TCGA-R8-A73M-01	TCGA-DU-7299-01	TCGA-HT-7478-01	TCGA-HT-7690-01	TCGA-TQ-A7RS-01	TCGA-CS-5394-01	TCGA-DH-A7UT-01	TCGA-R8-A6ML-01	TCGA-QH-A6X3-01	TCGA-TQ-A7RH-01	TCGA-TQ-A7RM-01	TCGA-HT-7689-01	TCGA-P5-A735-01	TCGA-26-1442-01	TCGA-27-2521-01	TCGA-19-2629-01	
Amplification Peak  1	1q22    	chr1:150120799-165021808(probes 68914:77660)      	chr1:156429152-156521186(probes 71891:71931)      	chr1:156429152-156631019(probes 71891:72003)      	0.098514	   0.098514		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	
Amplification Peak  2	2p24.3  	chr2:1-64337486(probes 131022:168903)                 	chr2:16086759-16177241(probes 141166:141172)        	chr2:16016878-16178292(probes 141117:141175)        	0.20756	    0.20756		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Amplification Peak  3	3p25.3  	chr3:1-24724764(probes 264469:277780)                	chr3:10966024-11421149(probes 269706:269996)        	chr3:1-16214104(probes 264469:273210)                	0.025444	   0.025444		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	
Amplification Peak  4	4q12    	chr4:54278154-54286650(probes 402685:402700)        	chr4:54278199-54285872(probes 402686:402699)        	chr4:53327088-56114064(probes 402001:404006)        	0.00024523	 0.00024523		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Amplification Peak  5	7q32.3  	chr7:130816461-131038861(probes 744378:744527)    	chr7:130817372-131032963(probes 744379:744526)    	chr7:130156359-131959189(probes 744081:745187)    	0.0061631	    0.04441		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	1	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	2	0	0	2	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	1	1	1	
Amplification Peak  6	7q34    	chr7:142554532-142582752(probes 751403:751415)    	chr7:142554631-142581255(probes 751404:751414)    	chr7:142544397-142583340(probes 751402:751417)    	9.2365e-07	  3.199e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	1	0	0	0	0	1	0	1	2	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	2	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	1	1	1	
Amplification Peak  7	8q23.3  	chr8:99930963-136655365(probes 815669:839134)      	chr8:111241614-111254614(probes 821981:821988)    	chr8:104937662-145138636(probes 818692:842631)    	0.0012708	    0.13189		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	2	0	2	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	2	0	0	0	0	1	1	0	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	2	0	0	0	0	1	
Amplification Peak  8	8q24.13 	chr8:122587697-122706834(probes 828891:828969)    	chr8:122588027-122706749(probes 828892:828968)    	chr8:104937662-145138636(probes 818692:842631)    	1.5583e-06	 8.4119e-05		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	1	1	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	2	0	0	0	0	1	1	0	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	2	0	0	0	2	1	
Amplification Peak  9	8q24.3  	chr8:124826505-145138636(probes 830373:842631)    	chr8:139307841-139444301(probes 841097:841199)    	chr8:104937662-145138636(probes 818692:842631)    	0.00043444	   0.021115		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	2	0	0	0	0	1	1	0	0	0	2	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	2	0	
Amplification Peak 10	9q34.3  	chr9:137496164-138394717(probes 911641:911843)    	chr9:137957961-138014704(probes 911797:911824)    	chr9:137325417-138394717(probes 911605:911843)    	0.037256	   0.037256		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	
