Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-DB-5279-01	TCGA-DB-A4XG-01	TCGA-S9-A6U2-01	TCGA-VM-A8CA-01	TCGA-DU-8168-01	TCGA-EZ-7264-01	TCGA-S9-A6TZ-01	TCGA-W9-A837-01	TCGA-E1-A7YO-01	TCGA-P5-A5F0-01	TCGA-FG-8182-01	TCGA-CS-5393-01	TCGA-DU-8162-01	TCGA-TQ-A7RO-01	TCGA-HT-8010-01	TCGA-CS-5396-01	TCGA-CS-6669-01	TCGA-TM-A7C4-01	TCGA-DU-7300-01	TCGA-HT-8113-01	TCGA-DU-A76R-01	TCGA-CS-5390-01	TCGA-DU-6410-01	TCGA-DU-A7TG-01	TCGA-DB-A4XH-01	TCGA-HT-7688-01	TCGA-CS-6668-01	TCGA-P5-A5F6-01	TCGA-DU-7309-01	TCGA-E1-5307-01	TCGA-E1-A7Z3-01	TCGA-HW-7491-01	TCGA-R8-A6MK-01	TCGA-DB-A64W-01	TCGA-TQ-A7RQ-01	TCGA-DH-A7UU-01	TCGA-FG-8181-01	TCGA-VM-A8CB-01	TCGA-TM-A84O-01	TCGA-HW-8322-01	TCGA-DU-7009-01	TCGA-HT-A5R7-01	TCGA-TM-A7C5-01	TCGA-DU-A7TC-01	TCGA-S9-A7QZ-01	TCGA-HT-7603-01	TCGA-DB-A4XE-01	TCGA-S9-A89V-01	TCGA-HT-8019-01	TCGA-HT-7881-01	TCGA-P5-A77X-01	TCGA-HW-8319-01	TCGA-HT-7474-01	TCGA-FG-7641-01	TCGA-DU-7018-01	TCGA-P5-A5F4-01	TCGA-S9-A6WI-01	TCGA-RY-A847-01	TCGA-HT-8015-01	TCGA-DU-6393-01	TCGA-HT-7605-01	TCGA-P5-A72Z-01	TCGA-HT-7856-01	TCGA-WY-A85A-01	TCGA-HT-8012-01	TCGA-RY-A843-01	TCGA-FG-5962-01	TCGA-DB-A64L-01	TCGA-FG-A713-01	TCGA-DU-6397-01	TCGA-TM-A84G-01	TCGA-HW-A5KJ-01	TCGA-HT-7695-01	TCGA-DU-5849-01	TCGA-TM-A84H-01	TCGA-DU-6394-01	TCGA-TM-A84R-01	TCGA-HT-7476-01	TCGA-HT-8109-01	TCGA-S9-A6WH-01	TCGA-HT-7470-01	TCGA-HT-7475-01	TCGA-S9-A6TY-01	TCGA-HT-A619-01	TCGA-P5-A77W-01	TCGA-P5-A733-01	TCGA-F6-A8O3-01	TCGA-DU-8164-01	TCGA-DU-A6S6-01	TCGA-E1-A7YS-01	TCGA-DU-5874-01	TCGA-HW-7487-01	TCGA-HT-A616-01	TCGA-HT-7687-01	TCGA-HT-7681-01	TCGA-HT-7877-01	TCGA-F6-A8O4-01	TCGA-HT-7880-01	TCGA-WY-A859-01	TCGA-VW-A7QS-01	TCGA-FG-8189-01	TCGA-DU-A6S8-01	TCGA-HT-7610-01	TCGA-IK-8125-01	TCGA-DU-7302-01	TCGA-HT-7480-01	TCGA-DB-A4XB-01	TCGA-QH-A6CZ-01	TCGA-HT-7607-01	TCGA-HT-A5RB-01	TCGA-E1-5311-01	TCGA-HT-A5R9-01	TCGA-HT-8105-01	TCGA-HT-7874-01	TCGA-HT-8107-01	TCGA-DB-5270-01	TCGA-P5-A5EZ-01	TCGA-P5-A781-01	TCGA-HW-7495-01	TCGA-DB-A64R-01	TCGA-QH-A6CY-01	TCGA-DH-A7UR-01	TCGA-HT-8558-01	TCGA-DU-A7T6-01	TCGA-HT-7694-01	TCGA-FG-A4MT-01	TCGA-HW-7489-01	TCGA-FG-7643-01	TCGA-S9-A7IQ-01	TCGA-TM-A7CF-01	TCGA-E1-A7YY-01	TCGA-E1-5318-01	TCGA-DU-A6S3-01	TCGA-HT-7875-01	TCGA-S9-A6WL-01	TCGA-06-0221-01	
Amplification Peak  1	4q12    	chr4:53642863-55014054(probes 402302:403488)        	chr4:54293346-55011661(probes 402802:403487)        	chr4:52424188-55589388(probes 401589:403797)        	0.0026601	 0.0026601		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Amplification Peak  2	7p11.2  	chr7:54218450-63672747(probes 709533:711051)        	chr7:55373083-55415139(probes 710461:710485)        	chr7:55373083-55955287(probes 710461:710743)        	0.10091	   0.10091		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	
Amplification Peak  3	7q11.22 	chr7:68529771-68709907(probes 712742:712873)        	chr7:68530263-68709787(probes 712743:712872)        	chr7:68530263-68715334(probes 712743:712875)        	0.1349	   0.17453		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	
Amplification Peak  4	7q11.23 	chr7:74240772-74313009(probes 715511:715534)        	chr7:74242146-74308763(probes 715512:715533)        	chr7:74242146-74323736(probes 715512:715536)        	0.14469	   0.17933		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	
Amplification Peak  5	7q21.2  	chr7:92122620-92901034(probes 724058:724635)        	chr7:92453841-92900585(probes 724207:724634)        	chr7:92127066-93652404(probes 724059:725033)        	0.0026601	 0.0026601		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	
Amplification Peak  6	7q34    	chr7:142554532-142582752(probes 751517:751529)    	chr7:142554631-142581255(probes 751518:751528)    	chr7:142544397-142583340(probes 751516:751531)    	0.0026601	 0.0026601		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	2	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	
Amplification Peak  7	8q24.12 	chr8:106806820-145138636(probes 819609:842763)    	chr8:119861979-119927417(probes 827279:827318)    	chr8:110407470-145138636(probes 821682:842763)    	0.043784	  0.043784		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	
Amplification Peak  8	12p13.32	chr12:3912358-3955080(probes 1074068:1074103)        	chr12:3914145-3954989(probes 1074069:1074102)        	chr12:3846339-3962102(probes 1074013:1074112)        	0.047886	  0.047886		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	
Amplification Peak  9	12p12.1 	chr12:21305867-21740314(probes 1084466:1084754)    	chr12:21306943-21735358(probes 1084467:1084753)    	chr12:21306943-21741607(probes 1084467:1084756)    	0.16518	   0.16518		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Amplification Peak 10	12q14.1 	chr12:57588472-57874872(probes 1102531:1102658)    	chr12:57588598-57874203(probes 1102532:1102657)    	chr12:57477508-57980541(probes 1102478:1102713)    	0.0026601	 0.0026601		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	
