Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-FG-8187-01	TCGA-P5-A72X-01	TCGA-CS-4938-01	TCGA-S9-A6U8-01	TCGA-E1-A7Z6-01	TCGA-HT-7680-01	TCGA-S9-A7R3-01	TCGA-HT-8108-01	TCGA-HT-7473-01	TCGA-TQ-A7RP-01	TCGA-E1-A7Z4-01	TCGA-DB-A4X9-01	TCGA-HT-7611-01	TCGA-DU-8161-01	TCGA-RY-A845-01	TCGA-E1-A7YD-01	TCGA-DB-A64O-01	TCGA-TM-A84T-01	TCGA-HT-7479-01	TCGA-E1-A7YM-01	TCGA-FG-6691-01	TCGA-TQ-A7RJ-01	TCGA-HW-7493-01	TCGA-DU-5853-01	TCGA-DB-A64X-01	TCGA-DB-5280-01	TCGA-S9-A6U9-01	TCGA-HT-7485-01	TCGA-DU-A76K-01	TCGA-P5-A5EV-01	TCGA-DU-8165-01	TCGA-QH-A870-01	TCGA-P5-A5EW-01	TCGA-HT-A74J-01	TCGA-HT-7854-01	TCGA-FG-A70Y-01	TCGA-FG-A60J-01	TCGA-DU-A7TI-01	TCGA-VM-A8C8-01	TCGA-DB-A4XC-01	TCGA-P5-A5F2-01	TCGA-S9-A6WG-01	TCGA-HT-7608-01	TCGA-QH-A6CS-01	TCGA-HT-A5R5-01	TCGA-DH-5143-01	TCGA-TQ-A7RV-01	TCGA-FG-A711-01	TCGA-CS-5395-01	TCGA-E1-A7Z2-01	TCGA-WH-A86K-01	TCGA-06-5859-01	TCGA-06-1804-01	
Amplification Peak  1	1q32.1  	chr1:202748447-202824871(probes 101609:101651)    	chr1:202749848-202824714(probes 101610:101650)    	chr1:202749848-202827618(probes 101610:101653)    	0.15524	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	
Amplification Peak  2	1q32.1  	chr1:203696734-203976496(probes 102243:102370)    	chr1:203697113-203976372(probes 102244:102369)    	chr1:203671638-204663034(probes 102211:102911)    	0.0071413	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	
Amplification Peak  3	1q32.1  	chr1:204301560-204347299(probes 102598:102645)    	chr1:204302424-204345090(probes 102599:102644)    	chr1:203671638-204663034(probes 102211:102911)    	0.003529	 0.018687		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	
Amplification Peak  4	1q32.2  	chr1:209740129-210100540(probes 106381:106615)    	chr1:209740894-210100472(probes 106382:106614)    	chr1:209740894-210106181(probes 106382:106617)    	0.15524	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	
Amplification Peak  5	1q42.13 	chr1:226270335-227837174(probes 117148:118150)    	chr1:226270473-227835923(probes 117149:118149)    	chr1:226270473-227842226(probes 117149:118152)    	0.15524	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	
Amplification Peak  6	2p24.3  	chr2:1-20349790(probes 131063:144291)                 	chr2:14337881-16397682(probes 139971:141387)        	chr2:13198042-16403370(probes 139325:141390)        	0.15524	  0.15524		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	
Amplification Peak  7	3q27.1  	chr3:183409001-185104905(probes 365093:365509)    	chr3:184179381-185104270(probes 365094:365508)    	chr3:184179381-185110054(probes 365094:365511)    	0.17938	  0.17938		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
Amplification Peak  8	4q26    	chr4:119447572-119590796(probes 439890:439976)    	chr4:119450119-119590250(probes 439891:439975)    	chr4:119450119-119596335(probes 439891:439978)    	0.2187	   0.2187		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  9	7p11.2  	chr7:54605598-55771942(probes 709830:710723)        	chr7:54605880-55765380(probes 709831:710722)        	chr7:54605880-55778820(probes 709831:710725)        	0.17837	  0.17837		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	2	1	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	1	2	
Amplification Peak 10	7q22.3  	chr7:104823425-104993660(probes 730737:730832)    	chr7:104823443-104993426(probes 730738:730831)    	chr7:104823443-104993940(probes 730738:730834)    	0.16763	  0.16763		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	2	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	2	1	1	
